Pos,No,Driver,Car,Time
1,7,Carlos ReutemannREU,Brabham Ford,1:38.978
2,24,James HuntHUN,March Ford,1:38.995
3,55,Mario AndrettiAND,Parnelli Ford,1:39.209
4,8,Carlos PacePAC,Brabham Ford,1:39.284
5,12,Niki LaudaLAU,Ferrari,1:39.327
6,3,Jody ScheckterSCH,Tyrrell Ford,1:39.478
7,28,John WatsonWAT,Brabham Ford,1:39.527
8,5,Emerson FittipaldiFIT,McLaren Ford,1:39.538
9,11,Clay RegazzoniREG,Ferrari,1:39.600
10,17,Jean-Pierre JarierJAR,Shadow Ford,1:40.317
11,21,Jacques LaffiteLAF,Iso Marlboro Ford,1:40.597
12,15,Chris AmonAMO,BRM,1:40.700
13,4,Patrick DepaillerDEP,Tyrrell Ford,1:40.700
14,66,Mark DonohueDON,Penske Ford,1:40.834
15,20,Arturo MerzarioMER,Iso Marlboro Ford,1:40.854
16,2,Jacky IckxICK,Lotus Ford,1:40.876
17,6,Denny HulmeHUL,McLaren Ford,1:41.027
18,16,Tom PrycePRY,Shadow Ford,1:41.188
19,1,Ronnie PetersonPET,Lotus Ford,1:41.195
20,33,Jochen MassMAS,McLaren Ford,1:41.300
21,27,Rolf StommelenSTO,Lola Ford,1:41.370
22,22,Mike WildsWIL,Ensign Ford,1:41.500
23,19,Helmuth  Koinigg KOI,Surtees Ford,1:41.763
24,26,Graham HillHIL,Lola Ford,1:41.901
25,10,Vittorio BrambillaBRA,March Ford,1:42.031
26,18,Jose  Dolhem DOL,Surtees Ford,1:42.914
27,31,Tim   SchenkenSCH,Lotus Ford,1:43.243
