Pos,No,Driver,Car,Time
1,12,Niki LaudaLAU,Ferrari,7:00.800
2,11,Clay RegazzoniREG,Ferrari,7:01.100
3,5,Emerson FittipaldiFIT,McLaren Ford,7:02.300
4,3,Jody ScheckterSCH,Tyrrell Ford,7:03.400
5,4,Patrick DepaillerDEP,Tyrrell Ford,7:06.200
6,7,Carlos ReutemannREU,Brabham Ford,7:07.200
7,6,Denny HulmeHUL,McLaren Ford,7:08.800
8,1,Ronnie PetersonPET,Lotus Ford,7:09.000
9,2,Jacky IckxICK,Lotus Ford,7:09.100
10,19,Jochen MassMAS,Surtees Ford,7:09.800
11,16,Tom PrycePRY,Shadow Ford,7:09.900
12,33,Mike HailwoodHAI,McLaren Ford,7:10.100
13,24,James HuntHUN,March Ford,7:10.400
14,28,John WatsonWAT,Brabham Ford,7:10.510
15,14,Jean-Pierre BeltoiseBEL,BRM,7:10.530
16,20,Arturo MerzarioMER,Iso Marlboro Ford,7:11.200
17,8,Carlos PacePAC,Brabham Ford,7:12.700
18,17,Jean-Pierre JarierJAR,Shadow Ford,7:14.900
19,26,Graham HillHIL,Lola Ford,7:15.500
20,9,Hans-Joachim StuckSTU,March Ford,7:16.000
21,21,Jacques LaffiteLAF,Iso Marlboro Ford,7:17.600
22,22,Vern SchuppanSCH,Ensign Ford,7:20.700
23,10,Vittorio BrambillaBRA,March Ford,7:20.800
24,15,Henri PescaroloPES,BRM,7:20.900
25,18,Derek BellBEL,Surtees Ford,7:22.000
26,32,Ian AshleyASH,Token Ford,7:24.600
