Pos,No,Driver,Car,Time
1,5,Emerson FittipaldiFIT,McLaren Ford,2:32.970
2,7,Carlos ReutemannREU,Brabham Ford,2:33.210
3,12,Niki LaudaLAU,Ferrari,2:33.770
4,1,Ronnie PetersonPET,Lotus Ford,2:33.820
5,2,Jacky IckxICK,Lotus Ford,2:34.640
6,16,Peter   RevsonREV,Shadow Ford,2:34.660
7,33,Mike HailwoodHAI,McLaren Ford,2:34.950
8,11,Clay RegazzoniREG,Ferrari,2:35.050
9,20,Arturo MerzarioMER,Iso Marlboro Ford,2:35.150
10,19,Jochen MassMAS,Surtees Ford,2:35.430
11,6,Denny HulmeHUL,McLaren Ford,2:35.540
12,18,Carlos PacePAC,Surtees Ford,2:35.630
13,9,Hans-Joachim StuckSTU,March Ford,2:35.640
14,3,Jody ScheckterSCH,Tyrrell Ford,2:35.780
15,28,John WatsonWAT,Brabham Ford,2:36.060
16,4,Patrick DepaillerDEP,Tyrrell Ford,2:36.210
17,14,Jean-Pierre BeltoiseBEL,BRM,2:36.490
18,24,James HuntHUN,March Ford,2:37.240
19,17,Jean-Pierre JarierJAR,Shadow Ford,2:37.630
20,10,Howden  Ganley GAN,March Ford,2:37.650
21,26,Graham HillHIL,Lola Ford,2:38.620
22,15,Henri PescaroloPES,BRM,2:38.800
23,37,Francois  MigaultMIG,BRM,2:39.200
24,8,Richard   RobartsROB,Brabham Ford,2:39.850
25,27,Guy EdwardsEDW,Lola Ford,2:42.150
