Pos,No,Driver,Car,Time
1,1,Ronnie PetersonPET,Lotus Ford,1:50.780
2,11,Clay RegazzoniREG,Ferrari,1:50.960
3,5,Emerson FittipaldiFIT,McLaren Ford,1:51.060
4,16,Peter   RevsonREV,Shadow Ford,1:51.300
5,24,James HuntHUN,March Ford,1:51.520
6,7,Carlos ReutemannREU,Brabham Ford,1:51.550
7,2,Jacky IckxICK,Lotus Ford,1:51.700
8,12,Niki LaudaLAU,Ferrari,1:51.810
9,33,Mike HailwoodHAI,McLaren Ford,1:51.860
10,6,Denny HulmeHUL,McLaren Ford,1:52.060
11,18,Carlos PacePAC,Surtees Ford,1:52.200
12,3,Jody ScheckterSCH,Tyrrell Ford,1:52.470
13,20,Arturo MerzarioMER,Iso Marlboro Ford,1:53.140
14,14,Jean-Pierre BeltoiseBEL,BRM,1:53.180
15,4,Patrick DepaillerDEP,Tyrrell Ford,1:53.270
16,17,Jean-Pierre JarierJAR,Shadow Ford,1:53.660
17,26,Graham HillHIL,Lola Ford,1:53.900
18,19,Jochen MassMAS,Surtees Ford,1:53.900
19,10,Howden  Ganley GAN,March Ford,1:54.210
20,28,John WatsonWAT,Brabham Ford,1:54.390
21,15,Henri PescaroloPES,BRM,1:54.670
22,8,Richard   RobartsROB,Brabham Ford,1:54.730
23,9,Hans-Joachim StuckSTU,March Ford,1:55.190
24,37,Francois  MigaultMIG,BRM,1:55.430
25,27,Guy EdwardsEDW,Lola Ford,1:56.430
26,22,Rikky von OpelVON,Ensign Ford,1:57.860
