Pos,No,Driver,Car,Time
1,11,Elio de AngelisDEA,Lotus Ford,1:12.092
2,6,Riccardo PatresePAT,Brabham BMW,1:12.458
3,12,Nigel MansellMAN,Lotus Ford,1:12.623
4,5,Nelson PiquetPIQ,Brabham BMW,1:12.724
5,28,Rene ArnouxARN,Ferrari,1:13.113
6,27,Patrick TambayTAM,Ferrari,1:13.157
7,16,Eddie  CheeverCHE,Renault,1:13.253
8,15,Alain ProstPRO,Renault,1:13.342
9,9,Manfred WinkelhockWIN,ATS BMW,1:13.679
10,7,John WatsonWAT,McLaren TAG,1:13.783
11,35,Derek WarwickWAR,Toleman Hart,1:13.855
12,36,Bruno GiacomelliGIA,Toleman Hart,1:13.949
13,8,Niki LaudaLAU,McLaren TAG,1:13.972
14,22,Andrea de CesarisDEC,Alfa Romeo,1:14.403
15,23,Mauro BaldiBAL,Alfa Romeo,1:14.727
16,1,Keke RosbergROS,Williams Honda,1:14.917
17,29,Marc SurerSUR,Arrows Ford,1:15.346
18,30,Thierry BoutsenBOU,Arrows Ford,1:15.428
19,40,Stefan JohanssonJOH,Spirit Honda,1:15.912
20,4,Danny SullivanSUL,Tyrrell Ford,1:16.640
21,33,Roberto GuerreroGUE,Theodore Ford,1:16.769
22,25,Jean-Pierre JarierJAR,Ligier Ford,1:16.880
23,26,Raul BoeselBOE,Ligier Ford,1:17.177
24,32,Piercarlo GhinzaniGHI,Theodore Ford,1:17.408
25,42,Jonathan  PalmerPAL,Williams Honda,1:17.432
26,3,Michele AlboretoALB,Tyrrell Ford,1:17.456
