Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:24.610,
2,27,Ayrton SennaSEN,McLaren Honda,1:24.784,+0.174s
3,4,Jean AlesiALE,Tyrrell Ford,1:25.179,+0.569s
4,5,Thierry BoutsenBOU,Williams Renault,1:25.256,+0.646s
5,28,Gerhard BergerBER,McLaren Honda,1:25.396,+0.786s
6,2,Nigel MansellMAN,Ferrari,1:25.486,+0.876s
7,19,Alessandro NanniniNAN,Benetton Ford,1:25.988,+1.378s
8,1,Alain ProstPRO,Ferrari,1:26.102,+1.492s
9,20,Nelson PiquetPIQ,Benetton Ford,1:26.489,+1.879s
10,11,Derek WarwickWAR,Lotus Lamborghini,1:26.665,+2.055s
11,30,Aguri SuzukiSUZ,Lola Lamborghini,1:26.678,+2.068s
12,15,Mauricio GugelminGUG,Leyton House Judd,1:27.214,+2.604s
13,8,Stefano ModenaMOD,Brabham Judd,1:27.238,+2.628s
14,21,Emanuele PirroPIR,Dallara Ford,1:27.367,+2.757s
15,36,Jyrki JarvilehtoJAR,Onyx Ford,1:27.539,+2.929s
16,26,Philippe AlliotALL,Ligier Ford,1:27.811,+3.201s
17,12,Martin DonnellyDON,Lotus Lamborghini,1:27.980,+3.370s
18,3,Satoru NakajimaNAK,Tyrrell Ford,1:28.211,+3.601s
19,10,Alex CaffiCAF,Arrows Ford,1:28.296,+3.686s
20,25,Nicola LariniLAR,Ligier Ford,1:28.441,+3.831s
21,35,Gregor FoitekFOI,Onyx Ford,1:28.527,+3.917s
22,33,Roberto MorenoMOR,Euro Brun Judd,1:29.193,+4.583s
23,14,Olivier GrouillardGRO,Osella Ford,1:29.379,+4.769s
24,22,Andrea de CesarisDEC,Dallara Ford,1:29.393,+4.783s
25,16,Ivan CapelliCAP,Leyton House Judd,1:29.778,+5.168s
26,9,Michele AlboretoALB,Arrows Ford,1:29.800,+5.190s
27,24,Paolo BarillaBAR,Minardi Ford,1:30.066,+5.456s
28,7,David BrabhamBRA,Brabham Judd,1:30.620,+6.010s
29,29,Eric BernardBER,Lola Lamborghini,1:30.779,+6.169s
