Pos,No,Driver,Car,Time,Gap
1,2,Nigel MansellMAN,Ferrari,1:37.159,
2,1,Alain ProstPRO,Ferrari,1:37.301,+0.142s
3,6,Riccardo PatresePAT,Williams Renault,1:37.321,+0.162s
4,11,Derek WarwickWAR,Lotus Lamborghini,1:37.453,+0.294s
5,5,Thierry BoutsenBOU,Williams Renault,1:37.871,+0.712s
6,27,Ayrton SennaSEN,McLaren Honda,1:38.428,+1.269s
7,12,Martin DonnellyDON,Lotus Lamborghini,1:38.536,+1.377s
8,20,Nelson PiquetPIQ,Benetton Ford,1:39.201,+2.042s
9,26,Philippe AlliotALL,Ligier Ford,1:39.526,+2.367s
10,19,Alessandro NanniniNAN,Benetton Ford,1:40.063,+2.904s
11,28,Gerhard BergerBER,McLaren Honda,1:40.186,+3.027s
12,22,Andrea de CesarisDEC,Dallara Ford,1:40.583,+3.424s
13,3,Satoru NakajimaNAK,Tyrrell Ford,1:40.594,+3.435s
14,30,Aguri SuzukiSUZ,Lola Lamborghini,1:40.908,+3.749s
15,7,David BrabhamBRA,Brabham Judd,1:41.093,+3.934s
16,9,Michele AlboretoALB,Arrows Ford,1:41.746,+4.587s
17,36,Jyrki JarvilehtoJAR,Onyx Ford,1:42.068,+4.909s
18,14,Olivier GrouillardGRO,Osella Ford,1:42.108,+4.949s
19,8,Stefano ModenaMOD,Brabham Judd,1:42.304,+5.145s
20,25,Nicola LariniLAR,Ligier Ford,1:42.325,+5.166s
21,23,Pierluigi MartiniMAR,Minardi Ford,1:42.533,+5.374s
22,4,Jean AlesiALE,Tyrrell Ford,1:42.720,+5.561s
23,10,Alex CaffiCAF,Arrows Ford,1:43.538,+6.379s
24,24,Paolo BarillaBAR,Minardi Ford,1:43.733,+6.574s
25,21,Emanuele PirroPIR,Dallara Ford,1:43.798,+6.639s
26,29,Eric BernardBER,Lola Lamborghini,1:44.360,+7.201s
27,35,Gregor FoitekFOI,Onyx Ford,1:45.888,+8.729s
28,16,Ivan CapelliCAP,Leyton House Judd,1:52.203,+15.044s
