Pos,No,Driver,Car,Time,Gap
1,1,Alain ProstPRO,Ferrari,1:42.470,
2,6,Riccardo PatresePAT,Williams Renault,1:42.874,+0.404s
3,20,Nelson PiquetPIQ,Benetton Ford,1:43.289,+0.819s
4,4,Jean AlesiALE,Tyrrell Ford,1:43.701,+1.231s
5,5,Thierry BoutsenBOU,Williams Renault,1:44.387,+1.917s
6,2,Nigel MansellMAN,Ferrari,1:44.409,+1.939s
7,12,Martin DonnellyDON,Lotus Lamborghini,1:44.743,+2.273s
8,3,Satoru NakajimaNAK,Tyrrell Ford,1:45.197,+2.727s
9,28,Gerhard BergerBER,McLaren Honda,1:45.536,+3.066s
10,26,Philippe AlliotALL,Ligier Ford,1:45.724,+3.254s
11,27,Ayrton SennaSEN,McLaren Honda,1:45.770,+3.300s
12,10,Alex CaffiCAF,Arrows Ford,1:45.859,+3.389s
13,16,Ivan CapelliCAP,Leyton House Judd,1:45.939,+3.469s
14,15,Mauricio GugelminGUG,Leyton House Judd,1:46.085,+3.615s
15,23,Pierluigi MartiniMAR,Minardi Ford,1:46.094,+3.624s
16,19,Alessandro NanniniNAN,Benetton Ford,1:46.178,+3.708s
17,36,Jyrki JarvilehtoJAR,Onyx Ford,1:46.212,+3.742s
18,11,Derek WarwickWAR,Lotus Lamborghini,1:46.269,+3.799s
19,35,Gregor FoitekFOI,Onyx Ford,1:46.423,+3.953s
20,22,Andrea de CesarisDEC,Dallara Ford,1:46.572,+4.102s
21,9,Michele AlboretoALB,Arrows Ford,1:46.681,+4.211s
22,21,Emanuele PirroPIR,Dallara Ford,1:46.919,+4.449s
23,29,Eric BernardBER,Lola Lamborghini,1:47.102,+4.632s
24,25,Nicola LariniLAR,Ligier Ford,1:47.215,+4.745s
25,8,Stefano ModenaMOD,Brabham Judd,1:47.348,+4.878s
26,18,Yannick DalmasDAL,AGS Ford,1:47.844,+5.374s
27,30,Aguri SuzukiSUZ,Lola Lamborghini,1:48.379,+5.909s
28,14,Olivier GrouillardGRO,Osella Ford,1:49.604,+7.134s
29,24,Paolo BarillaBAR,Minardi Ford,1:49.670,+7.200s
30,7,David BrabhamBRA,Brabham Judd,2:13.973,+31.503s
