Pos,No,Driver,Car,Time,Gap
1,27,Ayrton SennaSEN,McLaren Honda,1:19.186,
2,19,Alessandro NanniniNAN,Benetton Ford,1:19.212,+0.026s
3,28,Gerhard BergerBER,McLaren Honda,1:19.523,+0.337s
4,2,Nigel MansellMAN,Ferrari,1:19.664,+0.478s
5,6,Riccardo PatresePAT,Williams Renault,1:19.865,+0.679s
6,12,Martin DonnellyDON,Lotus Lamborghini,1:19.911,+0.725s
7,29,Eric BernardBER,Lola Lamborghini,1:20.016,+0.830s
8,5,Thierry BoutsenBOU,Williams Renault,1:20.372,+1.186s
9,25,Nicola LariniLAR,Ligier Ford,1:20.602,+1.416s
10,21,Emanuele PirroPIR,Dallara Ford,1:20.647,+1.461s
11,20,Nelson PiquetPIQ,Benetton Ford,1:20.887,+1.701s
12,22,Andrea de CesarisDEC,Dallara Ford,1:21.065,+1.879s
13,11,Derek WarwickWAR,Lotus Lamborghini,1:21.250,+2.064s
14,3,Satoru NakajimaNAK,Tyrrell Ford,1:21.294,+2.108s
15,1,Alain ProstPRO,Ferrari,1:21.361,+2.175s
16,26,Philippe AlliotALL,Ligier Ford,1:21.452,+2.266s
17,30,Aguri SuzukiSUZ,Lola Lamborghini,1:21.724,+2.538s
18,23,Pierluigi MartiniMAR,Minardi Ford,1:21.727,+2.541s
19,8,Stefano ModenaMOD,Brabham Judd,1:21.902,+2.716s
20,24,Paolo BarillaBAR,Minardi Ford,1:22.027,+2.841s
21,15,Mauricio GugelminGUG,Leyton House Judd,1:22.362,+3.176s
22,10,Alex CaffiCAF,Arrows Ford,1:22.433,+3.247s
23,7,David BrabhamBRA,Brabham Judd,1:22.451,+3.265s
24,17,Gabriele TarquiniTAR,AGS Ford,1:22.834,+3.648s
25,18,Yannick DalmasDAL,AGS Ford,1:22.842,+3.656s
26,16,Ivan CapelliCAP,Leyton House Judd,1:22.881,+3.695s
27,36,Jyrki JarvilehtoJAR,Onyx Ford,1:23.231,+4.045s
28,9,Michele AlboretoALB,Arrows Ford,1:23.275,+4.089s
29,4,Jean AlesiALE,Tyrrell Ford,1:24.701,+5.515s
30,35,Gregor FoitekFOI,Onyx Ford,1:25.101,+5.915s
