Pos,No,Driver,Car,Time,Gap
1,27,Ayrton SennaSEN,McLaren Honda,1:21.722,
2,4,Jean AlesiALE,Tyrrell Ford,1:22.374,+0.652s
3,28,Gerhard BergerBER,McLaren Honda,1:23.209,+1.487s
4,6,Riccardo PatresePAT,Williams Renault,1:23.506,+1.784s
5,1,Alain ProstPRO,Ferrari,1:23.588,+1.866s
6,5,Thierry BoutsenBOU,Williams Renault,1:23.619,+1.897s
7,26,Philippe AlliotALL,Ligier Ford,1:23.666,+1.944s
8,2,Nigel MansellMAN,Ferrari,1:23.719,+1.997s
9,11,Derek WarwickWAR,Lotus Lamborghini,1:23.986,+2.264s
10,21,Emanuele PirroPIR,Dallara Ford,1:24.299,+2.577s
11,22,Andrea de CesarisDEC,Dallara Ford,1:24.332,+2.610s
12,12,Martin DonnellyDON,Lotus Lamborghini,1:24.384,+2.662s
13,20,Nelson PiquetPIQ,Benetton Ford,1:24.435,+2.713s
14,29,Eric BernardBER,Lola Lamborghini,1:24.458,+2.736s
15,35,Gregor FoitekFOI,Onyx Ford,1:24.557,+2.835s
16,30,Aguri SuzukiSUZ,Lola Lamborghini,1:24.615,+2.893s
17,3,Satoru NakajimaNAK,Tyrrell Ford,1:24.902,+3.180s
18,19,Alessandro NanniniNAN,Benetton Ford,1:24.965,+3.243s
19,8,Stefano ModenaMOD,Brabham Judd,1:25.001,+3.279s
20,23,Pierluigi MartiniMAR,Minardi Ford,1:25.327,+3.605s
21,10,Alex CaffiCAF,Arrows Ford,1:25.502,+3.780s
22,36,Jyrki JarvilehtoJAR,Onyx Ford,1:25.714,+3.992s
23,9,Michele AlboretoALB,Arrows Ford,1:25.911,+4.189s
24,25,Nicola LariniLAR,Ligier Ford,1:26.000,+4.278s
25,24,Paolo BarillaBAR,Minardi Ford,1:26.212,+4.490s
26,14,Olivier GrouillardGRO,Osella Ford,1:26.351,+4.629s
27,15,Mauricio GugelminGUG,Leyton House Judd,1:27.707,+5.985s
28,16,Ivan CapelliCAP,Leyton House Judd,1:28.383,+6.661s
29,33,Roberto MorenoMOR,Euro Brun Judd,1:28.551,+6.829s
30,7,David BrabhamBRA,Brabham Judd,1:28.823,+7.101s
