Pos,No,Driver,Car,Time,Gap
1,28,Gerhard BergerBER,McLaren Honda,1:23.481,
2,6,Riccardo PatresePAT,Williams Renault,1:24.148,+0.667s
3,5,Thierry BoutsenBOU,Williams Renault,1:24.844,+1.363s
4,19,Alessandro NanniniNAN,Benetton Ford,1:24.897,+1.416s
5,4,Jean AlesiALE,Tyrrell Ford,1:24.974,+1.493s
6,1,Alain ProstPRO,Ferrari,1:25.002,+1.521s
7,20,Nelson PiquetPIQ,Benetton Ford,1:25.043,+1.562s
8,2,Nigel MansellMAN,Ferrari,1:25.052,+1.571s
9,29,Eric BernardBER,Lola Lamborghini,1:25.423,+1.942s
10,11,Derek WarwickWAR,Lotus Lamborghini,1:25.727,+2.246s
11,30,Aguri SuzukiSUZ,Lola Lamborghini,1:25.779,+2.298s
12,23,Pierluigi MartiniMAR,Minardi Ford,1:26.432,+2.951s
13,12,Martin DonnellyDON,Lotus Lamborghini,1:26.785,+3.304s
14,15,Mauricio GugelminGUG,Leyton House Judd,1:27.042,+3.561s
15,3,Satoru NakajimaNAK,Tyrrell Ford,1:27.346,+3.865s
16,9,Michele AlboretoALB,Arrows Ford,1:27.681,+4.200s
17,10,Alex CaffiCAF,Arrows Ford,1:27.794,+4.313s
18,16,Ivan CapelliCAP,Leyton House Judd,1:27.800,+4.319s
19,26,Philippe AlliotALL,Ligier Ford,1:28.034,+4.553s
20,18,Yannick DalmasDAL,AGS Ford,1:28.036,+4.555s
21,21,Emanuele PirroPIR,Dallara Ford,1:28.102,+4.621s
22,7,David BrabhamBRA,Brabham Judd,1:28.277,+4.796s
23,24,Paolo BarillaBAR,Minardi Ford,1:28.396,+4.915s
24,25,Nicola LariniLAR,Ligier Ford,1:28.461,+4.980s
25,17,Gabriele TarquiniTAR,AGS Ford,1:28.515,+5.034s
26,14,Olivier GrouillardGRO,Osella Ford,1:28.534,+5.053s
27,8,Stefano ModenaMOD,Brabham Judd,1:28.852,+5.371s
28,27,Ayrton SennaSEN,McLaren Honda,1:29.184,+5.703s
29,31,Bertrand GachotGAC,Coloni Ford,1:29.767,+6.286s
30,22,Andrea de CesarisDEC,Dallara Ford,1:29.820,+6.339s
