Pos,No,Driver,Car,Time,Gap
1,27,Ayrton SennaSEN,McLaren Honda,1:17.634,
2,1,Alain ProstPRO,Ferrari,1:18.392,+0.758s
3,2,Nigel MansellMAN,Ferrari,1:18.467,+0.833s
4,5,Thierry BoutsenBOU,Williams Renault,1:18.512,+0.878s
5,6,Riccardo PatresePAT,Williams Renault,1:19.238,+1.604s
6,4,Jean AlesiALE,Tyrrell Ford,1:19.450,+1.816s
7,19,Alessandro NanniniNAN,Benetton Ford,1:19.586,+1.952s
8,9,Michele AlboretoALB,Arrows Ford,1:19.778,+2.144s
9,22,Andrea de CesarisDEC,Dallara Ford,1:19.852,+2.218s
10,29,Eric BernardBER,Lola Lamborghini,1:19.957,+2.323s
11,12,Martin DonnellyDON,Lotus Lamborghini,1:20.179,+2.545s
12,25,Nicola LariniLAR,Ligier Ford,1:20.235,+2.601s
13,26,Philippe AlliotALL,Ligier Ford,1:20.267,+2.633s
14,20,Nelson PiquetPIQ,Benetton Ford,1:20.310,+2.676s
15,36,Jyrki JarvilehtoJAR,Onyx Ford,1:20.475,+2.841s
16,30,Aguri SuzukiSUZ,Lola Lamborghini,1:20.497,+2.863s
17,23,Pierluigi MartiniMAR,Minardi Ford,1:20.739,+3.105s
18,18,Yannick DalmasDAL,AGS Ford,1:20.744,+3.110s
19,8,Stefano ModenaMOD,Brabham Judd,1:20.802,+3.168s
20,11,Derek WarwickWAR,Lotus Lamborghini,1:20.852,+3.218s
21,35,Stefan JohanssonJOH,Onyx Ford,1:20.949,+3.315s
22,28,Gerhard BergerBER,McLaren Honda,1:20.989,+3.355s
23,14,Olivier GrouillardGRO,Osella Ford,1:21.087,+3.453s
24,3,Satoru NakajimaNAK,Tyrrell Ford,1:21.125,+3.491s
25,10,Alex CaffiCAF,Arrows Ford,1:21.166,+3.532s
26,24,Paolo BarillaBAR,Minardi Ford,1:21.254,+3.620s
27,21,Gianni MorbidelliMOR,Dallara Ford,1:21.438,+3.804s
28,7,Gregor FoitekFOI,Brabham Judd,1:21.881,+4.247s
29,15,Mauricio GugelminGUG,Leyton House Judd,1:22.050,+4.416s
30,16,Ivan CapelliCAP,Leyton House Judd,1:22.489,+4.855s
