Pos,No,Driver,Car,Time,Gap
1,2,Nigel MansellMAN,Ferrari,1:39.890,
2,28,Gerhard BergerBER,McLaren Honda,1:39.927,+0.037s
3,19,Roberto MorenoMOR,Benetton Ford,1:39.982,+0.092s
4,27,Ayrton SennaSEN,McLaren Honda,1:40.017,+0.127s
5,1,Alain ProstPRO,Ferrari,1:40.305,+0.415s
6,20,Nelson PiquetPIQ,Benetton Ford,1:40.920,+1.030s
7,5,Thierry BoutsenBOU,Williams Renault,1:41.515,+1.625s
8,6,Riccardo PatresePAT,Williams Renault,1:41.619,+1.729s
9,29,Eric BernardBER,Lola Lamborghini,1:41.776,+1.886s
10,11,Derek WarwickWAR,Lotus Lamborghini,1:41.941,+2.051s
11,16,Ivan CapelliCAP,Leyton House Judd,1:42.372,+2.482s
12,25,Nicola LariniLAR,Ligier Ford,1:42.393,+2.503s
13,12,Johnny HerbertHER,Lotus Lamborghini,1:42.514,+2.624s
14,30,Aguri SuzukiSUZ,Lola Lamborghini,1:43.115,+3.225s
15,3,Satoru NakajimaNAK,Tyrrell Ford,1:43.196,+3.306s
16,26,Philippe AlliotALL,Ligier Ford,1:43.408,+3.518s
17,15,Mauricio GugelminGUG,Leyton House Judd,1:43.564,+3.674s
18,9,Michele AlboretoALB,Arrows Ford,1:43.889,+3.999s
19,10,Alex CaffiCAF,Arrows Ford,1:43.927,+4.037s
20,8,Stefano ModenaMOD,Brabham Judd,1:44.019,+4.129s
21,24,Gianni MorbidelliMOR,Minardi Ford,1:44.376,+4.486s
22,21,Emanuele PirroPIR,Dallara Ford,1:44.441,+4.551s
23,18,Yannick DalmasDAL,AGS Ford,1:45.171,+5.281s
24,14,Olivier GrouillardGRO,Osella Ford,1:45.464,+5.574s
25,31,Bertrand GachotGAC,Coloni Ford,1:46.707,+6.817s
26,22,Andrea de CesarisDEC,Dallara Ford,1:47.056,+7.166s
27,7,David BrabhamBRA,Brabham Judd,1:47.118,+7.228s
28,23,Pierluigi MartiniMAR,Minardi Ford,1:47.343,+7.453s
29,17,Gabriele TarquiniTAR,AGS Ford,1:47.571,+7.681s
