Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:14.857,
2,27,Ayrton SennaSEN,McLaren Honda,1:14.888,+0.031s
3,19,Alessandro NanniniNAN,Benetton Ford,1:15.049,+0.192s
4,2,Nigel MansellMAN,Ferrari,1:15.119,+0.262s
5,4,Jean AlesiALE,Tyrrell Ford,1:15.227,+0.370s
6,29,Eric BernardBER,Lola Lamborghini,1:15.477,+0.620s
7,1,Alain ProstPRO,Ferrari,1:16.199,+1.342s
8,20,Nelson PiquetPIQ,Benetton Ford,1:16.552,+1.695s
9,5,Thierry BoutsenBOU,Williams Renault,1:16.980,+2.123s
10,9,Michele AlboretoALB,Arrows Ford,1:17.062,+2.205s
11,15,Mauricio GugelminGUG,Leyton House Judd,1:17.106,+2.249s
12,23,Pierluigi MartiniMAR,Minardi Ford,1:17.132,+2.275s
13,30,Aguri SuzukiSUZ,Lola Lamborghini,1:17.177,+2.320s
14,10,Alex CaffiCAF,Arrows Ford,1:17.298,+2.441s
15,21,Emanuele PirroPIR,Dallara Ford,1:17.299,+2.442s
16,22,Andrea de CesarisDEC,Dallara Ford,1:17.311,+2.454s
17,26,Philippe AlliotALL,Ligier Ford,1:17.637,+2.780s
18,11,Derek WarwickWAR,Lotus Lamborghini,1:17.775,+2.918s
19,18,Yannick DalmasDAL,AGS Ford,1:18.149,+3.292s
20,12,Martin DonnellyDON,Lotus Lamborghini,1:18.203,+3.346s
21,14,Olivier GrouillardGRO,Osella Ford,1:18.273,+3.416s
22,16,Ivan CapelliCAP,Leyton House Judd,1:18.631,+3.774s
23,25,Nicola LariniLAR,Ligier Ford,1:18.664,+3.807s
24,17,Gabriele TarquiniTAR,AGS Ford,1:18.706,+3.849s
25,28,Gerhard BergerBER,McLaren Honda,1:18.799,+3.942s
26,24,Paolo BarillaBAR,Minardi Ford,1:19.103,+4.246s
27,7,David BrabhamBRA,Brabham Judd,1:19.114,+4.257s
28,8,Stefano ModenaMOD,Brabham Judd,1:19.716,+4.859s
29,31,Bertrand GachotGAC,Coloni Ford,1:20.659,+5.802s
