Pos,No,Driver,Car,Time,Gap
1,27,Ayrton SennaSEN,McLaren Honda,1:15.828,
2,28,Gerhard BergerBER,McLaren Honda,1:16.802,+0.974s
3,4,Jean AlesiALE,Tyrrell Ford,1:16.997,+1.169s
4,20,Nelson PiquetPIQ,Benetton Ford,1:17.155,+1.327s
5,19,Roberto MorenoMOR,Benetton Ford,1:17.365,+1.537s
6,2,Nigel MansellMAN,Ferrari,1:17.650,+1.822s
7,6,Riccardo PatresePAT,Williams Renault,1:17.666,+1.838s
8,1,Alain ProstPRO,Ferrari,1:17.670,+1.842s
9,11,Derek WarwickWAR,Lotus Lamborghini,1:17.924,+2.096s
10,5,Thierry BoutsenBOU,Williams Renault,1:18.095,+2.267s
11,15,Mauricio GugelminGUG,Leyton House Judd,1:18.393,+2.565s
12,12,Johnny HerbertHER,Lotus Lamborghini,1:18.828,+3.000s
13,23,Pierluigi MartiniMAR,Minardi Ford,1:18.932,+3.104s
14,30,Aguri SuzukiSUZ,Lola Lamborghini,1:19.088,+3.260s
15,24,Gianni MorbidelliMOR,Minardi Ford,1:19.196,+3.368s
16,25,Nicola LariniLAR,Ligier Ford,1:19.224,+3.396s
17,16,Ivan CapelliCAP,Leyton House Judd,1:19.228,+3.400s
18,26,Philippe AlliotALL,Ligier Ford,1:19.473,+3.645s
19,8,Stefano ModenaMOD,Brabham Judd,1:19.622,+3.794s
20,22,Andrea de CesarisDEC,Dallara Ford,1:20.193,+4.365s
21,29,Eric BernardBER,Lola Lamborghini,1:20.299,+4.471s
22,14,Olivier GrouillardGRO,Osella Ford,1:20.339,+4.511s
23,10,Alex CaffiCAF,Arrows Ford,1:20.351,+4.523s
24,7,David BrabhamBRA,Brabham Judd,1:20.477,+4.649s
25,17,Gabriele TarquiniTAR,AGS Ford,1:20.504,+4.676s
26,9,Michele AlboretoALB,Arrows Ford,1:20.676,+4.848s
27,21,Emanuele PirroPIR,Dallara Ford,1:20.740,+4.912s
28,18,Yannick DalmasDAL,AGS Ford,1:21.479,+5.651s
29,3,Satoru NakajimaNAK,Tyrrell Ford,1:22.185,+6.357s
30,31,Bertrand GachotGAC,Coloni Ford,1:23.512,+7.684s
