Pos,No,Driver,Car,Time,Gap
1,19,Alessandro NanniniNAN,Benetton Ford,1:51.939,
2,14,Olivier GrouillardGRO,Osella Ford,1:52.223,+0.284s
3,11,Derek WarwickWAR,Lotus Lamborghini,1:52.534,+0.595s
4,4,Jean AlesiALE,Tyrrell Ford,1:53.638,+1.699s
5,10,Bernd SchneiderSCH,Arrows Ford,1:54.518,+2.579s
6,3,Satoru NakajimaNAK,Tyrrell Ford,1:56.659,+4.720s
7,23,Pierluigi MartiniMAR,Minardi Ford,1:56.993,+5.054s
8,2,Nigel MansellMAN,Ferrari,1:57.253,+5.314s
9,5,Thierry BoutsenBOU,Williams Renault,1:57.671,+5.732s
10,9,Michele AlboretoALB,Arrows Ford,1:57.736,+5.797s
11,24,Paolo BarillaBAR,Minardi Ford,1:58.475,+6.536s
12,29,Eric BernardBER,Lola Lamborghini,1:59.125,+7.186s
13,27,Ayrton SennaSEN,McLaren Honda,1:59.731,+7.792s
14,6,Riccardo PatresePAT,Williams Renault,1:59.862,+7.923s
15,33,Roberto MorenoMOR,Euro Brun Judd,2:03.437,+11.498s
16,15,Mauricio GugelminGUG,Leyton House Judd,2:03.638,+11.699s
17,12,Martin DonnellyDON,Lotus Lamborghini,2:04.663,+12.724s
18,16,Ivan CapelliCAP,Leyton House Judd,2:14.419,+22.480s
19,36,Jyrki JarvilehtoJAR,Onyx Ford,2:26.872,+34.933s
20,35,Stefan JohanssonJOH,Onyx Ford,2:28.222,+36.283s
21,22,Andrea de CesarisDEC,Dallara Ford,2:33.119,+41.180s
22,25,Nicola LariniLAR,Ligier Ford,21:58.328,+1206.389s
23,1,Alain ProstPRO,Ferrari,30:42.109,+1730.170s
