Pos,No,Driver,Car,Time,Gap
1,5,Thierry BoutsenBOU,Williams Renault,1:17.679,
2,2,Nigel MansellMAN,Ferrari,1:18.093,+0.414s
3,28,Gerhard BergerBER,McLaren Honda,1:18.144,+0.465s
4,4,Jean AlesiALE,Tyrrell Ford,1:18.255,+0.576s
5,3,Satoru NakajimaNAK,Tyrrell Ford,1:18.321,+0.642s
6,6,Riccardo PatresePAT,Williams Renault,1:18.484,+0.805s
7,27,Ayrton SennaSEN,McLaren Honda,1:18.485,+0.806s
8,12,Martin DonnellyDON,Lotus Lamborghini,1:18.528,+0.849s
9,20,Nelson PiquetPIQ,Benetton Ford,1:18.593,+0.914s
10,23,Pierluigi MartiniMAR,Minardi Ford,1:18.614,+0.935s
11,19,Alessandro NanniniNAN,Benetton Ford,1:18.914,+1.235s
12,1,Alain ProstPRO,Ferrari,1:18.930,+1.251s
13,8,Stefano ModenaMOD,Brabham Judd,1:19.199,+1.520s
14,11,Derek WarwickWAR,Lotus Lamborghini,1:19.250,+1.571s
15,21,Emanuele PirroPIR,Dallara Ford,1:19.350,+1.671s
16,25,Nicola LariniLAR,Ligier Ford,1:19.539,+1.860s
17,22,Andrea de CesarisDEC,Dallara Ford,1:19.870,+2.191s
18,30,Aguri SuzukiSUZ,Lola Lamborghini,1:19.901,+2.222s
19,36,Jyrki JarvilehtoJAR,Onyx Ford,1:19.948,+2.269s
20,35,Gregor FoitekFOI,Onyx Ford,1:19.950,+2.271s
21,24,Paolo BarillaBAR,Minardi Ford,1:20.311,+2.632s
22,29,Eric BernardBER,Lola Lamborghini,1:20.572,+2.893s
23,10,Alex CaffiCAF,Arrows Ford,1:20.642,+2.963s
24,9,Michele AlboretoALB,Arrows Ford,1:20.698,+3.019s
25,7,David BrabhamBRA,Brabham Judd,1:20.706,+3.027s
26,26,Philippe AlliotALL,Ligier Ford,1:21.065,+3.386s
27,14,Olivier GrouillardGRO,Osella Ford,1:21.090,+3.411s
28,33,Roberto MorenoMOR,Euro Brun Judd,1:21.445,+3.766s
29,16,Ivan CapelliCAP,Leyton House Judd,1:21.660,+3.981s
30,15,Mauricio GugelminGUG,Leyton House Judd,1:22.067,+4.388s
