Pos,No,Driver,Car,Time,Gap
1,2,Nigel MansellMAN,Ferrari,1:05.473,
2,20,Nelson PiquetPIQ,Benetton Ford,1:05.683,+0.210s
3,6,Riccardo PatresePAT,Williams Renault,1:05.723,+0.250s
4,1,Alain ProstPRO,Ferrari,1:05.851,+0.378s
5,28,Gerhard BergerBER,McLaren Honda,1:05.954,+0.481s
6,15,Mauricio GugelminGUG,Leyton House Judd,1:06.118,+0.645s
7,19,Alessandro NanniniNAN,Benetton Ford,1:06.150,+0.677s
8,4,Jean AlesiALE,Tyrrell Ford,1:06.208,+0.735s
9,29,Eric BernardBER,Lola Lamborghini,1:06.313,+0.840s
10,27,Ayrton SennaSEN,McLaren Honda,1:06.467,+0.994s
11,26,Philippe AlliotALL,Ligier Ford,1:06.498,+1.025s
12,5,Thierry BoutsenBOU,Williams Renault,1:06.860,+1.387s
13,10,Alex CaffiCAF,Arrows Ford,1:06.923,+1.450s
14,16,Ivan CapelliCAP,Leyton House Judd,1:07.086,+1.613s
15,23,Pierluigi MartiniMAR,Minardi Ford,1:07.226,+1.753s
16,9,Michele AlboretoALB,Arrows Ford,1:07.239,+1.766s
17,25,Nicola LariniLAR,Ligier Ford,1:07.290,+1.817s
18,12,Martin DonnellyDON,Lotus Lamborghini,1:07.328,+1.855s
19,11,Derek WarwickWAR,Lotus Lamborghini,1:07.458,+1.985s
20,21,Emanuele PirroPIR,Dallara Ford,1:07.586,+2.113s
21,30,Aguri SuzukiSUZ,Lola Lamborghini,1:07.588,+2.115s
22,18,Yannick DalmasDAL,AGS Ford,1:07.607,+2.134s
23,8,Stefano ModenaMOD,Brabham Judd,1:07.686,+2.213s
24,24,Paolo BarillaBAR,Minardi Ford,1:08.011,+2.538s
25,22,Andrea de CesarisDEC,Dallara Ford,1:08.082,+2.609s
26,17,Gabriele TarquiniTAR,AGS Ford,1:08.200,+2.727s
27,36,Jyrki JarvilehtoJAR,Onyx Ford,1:08.539,+3.066s
28,35,Gregor FoitekFOI,Onyx Ford,1:08.590,+3.117s
29,3,Satoru NakajimaNAK,Tyrrell Ford,1:09.865,+4.392s
30,7,David BrabhamBRA,Brabham Judd,1:10.917,+5.444s
