Pos,No,Driver,Car,Time,Gap
1,1,Alain ProstPRO,Ferrari,1:51.116,
2,28,Gerhard BergerBER,McLaren Honda,1:51.672,+0.556s
3,2,Nigel MansellMAN,Ferrari,1:51.955,+0.839s
4,19,Alessandro NanniniNAN,Benetton Ford,1:52.582,+1.466s
5,27,Ayrton SennaSEN,McLaren Honda,1:52.895,+1.779s
6,5,Thierry BoutsenBOU,Williams Renault,1:52.975,+1.859s
7,4,Jean AlesiALE,Tyrrell Ford,1:54.041,+2.925s
8,20,Nelson PiquetPIQ,Benetton Ford,1:54.046,+2.930s
9,6,Riccardo PatresePAT,Williams Renault,1:54.569,+3.453s
10,29,Eric BernardBER,Lola Lamborghini,1:54.749,+3.633s
11,8,Stefano ModenaMOD,Brabham Judd,1:55.044,+3.928s
12,12,Martin DonnellyDON,Lotus Lamborghini,1:55.070,+3.954s
13,11,Derek WarwickWAR,Lotus Lamborghini,1:55.190,+4.074s
14,16,Ivan CapelliCAP,Leyton House Judd,1:55.206,+4.090s
15,22,Andrea de CesarisDEC,Dallara Ford,1:55.306,+4.190s
16,10,Alex CaffiCAF,Arrows Ford,1:55.364,+4.248s
17,30,Aguri SuzukiSUZ,Lola Lamborghini,1:55.502,+4.386s
18,24,Paolo BarillaBAR,Minardi Ford,1:55.630,+4.514s
19,3,Satoru NakajimaNAK,Tyrrell Ford,1:55.715,+4.599s
20,23,Pierluigi MartiniMAR,Minardi Ford,1:55.939,+4.823s
21,9,Michele AlboretoALB,Arrows Ford,1:55.945,+4.829s
22,7,David BrabhamBRA,Brabham Judd,1:56.125,+5.009s
23,15,Mauricio GugelminGUG,Leyton House Judd,1:56.196,+5.080s
24,21,Emanuele PirroPIR,Dallara Ford,1:56.588,+5.472s
25,26,Philippe AlliotALL,Ligier Ford,1:57.045,+5.929s
26,14,Olivier GrouillardGRO,Osella Ford,1:57.118,+6.002s
27,25,Nicola LariniLAR,Ligier Ford,1:57.300,+6.184s
28,17,Gabriele TarquiniTAR,AGS Ford,1:57.621,+6.505s
29,18,Yannick DalmasDAL,AGS Ford,1:59.249,+8.133s
