Pos,No,Driver,Car,Time
1,4,Lando NorrisNOR,McLaren Mercedes,1:10.622
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:10.683
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:10.756
4,63,George RussellRUS,Mercedes,1:10.857
5,44,Lewis HamiltonHAM,Mercedes,1:10.940
6,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:11.019
7,16,Charles LeclercLEC,Ferrari,1:11.077
8,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:11.122
9,55,Carlos SainzSAI,Ferrari,1:11.126
10,81,Oscar PiastriPIA,McLaren Mercedes,1:11.189
11,20,Kevin MagnussenMAG,Haas Ferrari,1:11.727
12,27,Nico HulkenbergHUL,Haas Ferrari,1:11.752
13,10,Pierre GaslyGAS,Alpine Renault,1:11.822
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:11.872
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,
16,31,Esteban OconOCO,Alpine Renault,1:12.388
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:12.482
18,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:12.497
19,23,Alexander AlbonALB,Williams Mercedes,1:12.525
20,2,Logan SargeantSAR,Williams Mercedes,1:12.615
