Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:04.440
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:04.933
3,4,Lando NorrisNOR,McLaren Mercedes,1:05.010
4,27,Nico HulkenbergHUL,Haas Ferrari,1:05.084
5,55,Carlos SainzSAI,Ferrari,1:05.136
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:05.258
7,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:05.347
8,31,Esteban OconOCO,Alpine Renault,1:05.366
9,16,Charles LeclercLEC,Ferrari,1:05.245
10,20,Kevin MagnussenMAG,Haas Ferrari,1:05.912
11,23,Alexander AlbonALB,Williams Mercedes,1:06.152
12,10,Pierre GaslyGAS,Alpine Renault,1:06.360
13,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:06.369
14,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:06.593
15,63,George RussellRUS,Mercedes,
16,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:07.062
17,81,Oscar PiastriPIA,McLaren Mercedes,1:07.106
18,44,Lewis HamiltonHAM,Mercedes,1:07.282
19,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:07.291
20,2,Logan SargeantSAR,Williams Mercedes,1:07.426
