Pos,No,Driver,Car,Time
1,81,Oscar PiastriPIA,McLaren Mercedes,1:24.454
2,4,Lando NorrisNOR,McLaren Mercedes,1:24.536
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:24.646
4,63,George RussellRUS,Mercedes,1:24.841
5,55,Carlos SainzSAI,Ferrari,1:25.155
6,16,Charles LeclercLEC,Ferrari,1:25.247
7,27,Nico HulkenbergHUL,Haas Ferrari,1:25.320
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:25.382
9,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,
10,31,Esteban OconOCO,Alpine Renault,
11,10,Pierre GaslyGAS,Alpine Renault,1:25.686
12,44,Lewis HamiltonHAM,Mercedes,1:25.962
13,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:26.236
14,40,Liam LawsonLAW,AlphaTauri Honda RBPT,1:26.584
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:54.546
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:26.849
17,23,Alexander AlbonALB,Williams Mercedes,1:26.862
18,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:26.926
19,20,Kevin MagnussenMAG,Haas Ferrari,1:27.438
20,2,Logan SargeantSAR,Williams Mercedes,2:05.741
