Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:49.056
2,81,Oscar PiastriPIA,McLaren Mercedes,1:49.067
3,55,Carlos SainzSAI,Ferrari,1:49.081
4,16,Charles LeclercLEC,Ferrari,1:49.251
5,4,Lando NorrisNOR,McLaren Mercedes,1:49.389
6,10,Pierre GaslyGAS,Alpine Renault,1:49.700
7,44,Lewis HamiltonHAM,Mercedes,1:49.900
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:49.961
9,31,Esteban OconOCO,Alpine Renault,1:50.494
10,63,George RussellRUS,Mercedes,1:55.742
11,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:57.687
12,23,Alexander AlbonALB,Williams Mercedes,
13,2,Logan SargeantSAR,Williams Mercedes,
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,2:00.568
17,77,Valtteri BottasBOT,Alfa Romeo Ferrari,2:00.951
18,20,Kevin MagnussenMAG,Haas Ferrari,2:01.079
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,2:01.430
20,27,Nico HulkenbergHUL,Haas Ferrari,
