Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:34.538
2,16,Charles LeclercLEC,Ferrari,1:34.593
3,44,Lewis HamiltonHAM,Mercedes,1:34.607
4,4,Lando NorrisNOR,McLaren Mercedes,1:34.639
5,81,Oscar PiastriPIA,McLaren Mercedes,1:34.894
6,55,Carlos SainzSAI,Ferrari,1:34.939
7,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:35.041
8,23,Alexander AlbonALB,Williams Mercedes,1:35.366
9,10,Pierre GaslyGAS,Alpine Renault,1:35.897
10,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:35.978
11,63,George RussellRUS,Mercedes,1:35.199
12,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:36.087
13,31,Esteban OconOCO,Alpine Renault,1:36.137
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:36.181
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:36.182
16,27,Nico HulkenbergHUL,Haas Ferrari,1:36.749
17,20,Kevin MagnussenMAG,Haas Ferrari,1:36.922
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:36.922
19,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:36.945
20,2,Logan SargeantSAR,Williams Mercedes,1:37.186
