Pos,No,Driver,Car,Laps,Time/retired,Pts
1,11,Jackie StewartSTE,Tyrrell Ford,80,1:52:21.300,9
2,17,Ronnie PetersonPET,March Ford,80,+25.600s,6
3,4,Jacky IckxICK,Ferrari,80,+53.300s,4
4,9,Denny HulmeHUL,McLaren Ford,80,+66.700s,3
5,1,Emerson FittipaldiFIT,Lotus Ford,79,+1 lap,2
6,24,Rolf StommelenSTO,Surtees Ford,79,+1 lap,1
7,22,John SurteesSUR,Surtees Ford,79,+1 lap,0
8,27,Henri PescaroloPES,March Ford,77,+3 laps,0
9,15,Pedro RodriguezROD,BRM,76,+4 laps,0
10,8,Tim   SchenkenSCH,Brabham Ford,76,+4 laps,0
NC,14,Jo SiffertSIF,BRM,58,DNF,0
NC,21,Jean-Pierre BeltoiseBEL,Matra,47,DNF,0
NC,20,Chris AmonAMO,Matra,45,DNF,0
NC,3,Clay RegazzoniREG,Ferrari,24,DNF,0
NC,10,Peter  Gethin GET,McLaren Ford,22,DNF,0
NC,2,Reine   WisellWIS,Lotus Ford,21,DNF,0
NC,12,Francois  Cevert CEV,Tyrrell Ford,5,DNF,0
NC,7,Graham HillHIL,Brabham Ford,1,DNF,0
