Pos,No,Driver,Car,Time,Laps
1,7,Jarno TrulliTRU,Renault,1:56.232,6
2,1,Michael SchumacherMSC,Ferrari,1:56.304,6
3,8,Fernando AlonsoALO,Renault,1:56.686,6
4,5,David CoulthardCOU,McLaren Mercedes,1:57.990,6
5,11,Giancarlo FisichellaFIS,Sauber Petronas,1:58.040,6
6,2,Rubens BarrichelloBAR,Ferrari,1:58.175,6
7,14,Mark WebberWEB,Jaguar Cosworth,1:58.729,6
8,12,Felipe MassaMAS,Sauber Petronas,1:59.008,6
9,17,Olivier PanisPAN,Toyota,1:59.552,6
10,6,Kimi RäikkönenRAI,McLaren Mercedes,1:59.635,6
11,3,Juan Pablo MontoyaMOY,Williams BMW,1:59.681,6
12,9,Jenson ButtonBUT,BAR Honda,2:00.237,6
13,15,Christian KlienKLI,Jaguar Cosworth,2:01.246,6
14,4,Antonio PizzoniaPIZ,Williams BMW,2:01.447,6
15,10,Takuma SatoSAT,BAR Honda,2:01.813,6
16,18,Nick HeidfeldHEI,Jordan Ford,2:02.645,6
17,20,Gianmaria BruniBRU,Minardi Cosworth,2:02.651,6
18,21,Zsolt BaumgartnerBAU,Minardi Cosworth,2:03.303,6
19,19,Giorgio PantanoPAN,Jordan Ford,2:03.833,6
20,16,Ricardo ZontaZON,Toyota,2:03.895,5
