Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:33.542,6
2,4,Ralf SchumacherRSC,Williams BMW,1:34.032,6
3,14,Mark WebberWEB,Jaguar Cosworth,1:34.571,6
4,10,Takuma SatoSAT,BAR Honda,1:34.897,6
5,9,Jenson ButtonBUT,BAR Honda,1:35.157,6
6,16,Jarno TrulliTRU,Toyota,1:35.213,6
7,11,Giancarlo FisichellaFIS,Sauber Petronas,1:36.136,6
8,5,David CoulthardCOU,McLaren Mercedes,1:36.156,6
9,7,Jacques VilleneuveVIL,Renault,1:36.274,6
10,17,Olivier PanisPAN,Toyota,1:36.420,6
11,8,Fernando AlonsoALO,Renault,1:36.663,6
12,6,Kimi RäikkönenRAI,McLaren Mercedes,1:36.820,6
13,3,Juan Pablo MontoyaMOY,Williams BMW,1:37.653,6
14,15,Christian KlienKLI,Jaguar Cosworth,1:38.258,6
15,2,Rubens BarrichelloBAR,Ferrari,1:38.637,6
16,18,Nick HeidfeldHEI,Jordan Ford,1:41.953,6
17,19,Timo GlockGLO,Jordan Ford,1:43.533,6
18,20,Gianmaria BruniBRU,Minardi Cosworth,1:48.069,6
19,12,Felipe MassaMAS,Sauber Petronas,1:41.707,5
20,21,Zsolt BaumgartnerBAU,Minardi Cosworth,,2
