Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:30.139,6
2,2,Rubens BarrichelloBAR,Ferrari,1:30.530,6
3,3,Juan Pablo MontoyaMOY,Williams BMW,1:30.581,6
4,4,Ralf SchumacherRSC,Williams BMW,1:30.633,6
5,10,Takuma SatoSAT,BAR Honda,1:30.827,6
6,9,Jenson ButtonBUT,BAR Honda,1:30.856,6
7,7,Jarno TrulliTRU,Renault,1:30.971,6
8,17,Olivier PanisPAN,Toyota,1:31.686,6
9,16,Cristiano da MattaDAM,Toyota,1:31.717,6
10,5,David CoulthardCOU,McLaren Mercedes,1:31.719,6
11,11,Giancarlo FisichellaFIS,Sauber Petronas,1:31.731,6
12,15,Christian KlienKLI,Jaguar Cosworth,1:32.332,6
13,12,Felipe MassaMAS,Sauber Petronas,1:32.536,6
14,14,Mark WebberWEB,Jaguar Cosworth,1:32.625,6
15,18,Nick HeidfeldHEI,Jordan Ford,1:33.506,6
16,19,Giorgio PantanoPAN,Jordan Ford,1:34.105,6
17,8,Fernando AlonsoALO,Renault,1:34.130,6
18,20,Gianmaria BruniBRU,Minardi Cosworth,1:34.584,6
19,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:35.787,6
20,6,Kimi RäikkönenRAI,McLaren Mercedes,1:30.353,4
