Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:28.351,6
2,10,Takuma SatoSAT,BAR Honda,1:28.986,6
3,7,Jarno TrulliTRU,Renault,1:29.135,6
4,6,Kimi RäikkönenRAI,McLaren Mercedes,1:29.137,6
5,9,Jenson ButtonBUT,BAR Honda,1:29.245,6
6,8,Fernando AlonsoALO,Renault,1:29.313,6
7,2,Rubens BarrichelloBAR,Ferrari,1:29.353,6
8,3,Juan Pablo MontoyaMOY,Williams BMW,1:29.354,6
9,4,Ralf SchumacherRSC,Williams BMW,1:29.459,6
10,17,Olivier PanisPAN,Toyota,1:29.697,6
11,16,Cristiano da MattaDAM,Toyota,1:29.706,6
12,15,Christian KlienKLI,Jaguar Cosworth,1:31.431,7
13,18,Nick HeidfeldHEI,Jordan Ford,1:31.604,6
14,14,Mark WebberWEB,Jaguar Cosworth,1:31.797,6
15,19,Giorgio PantanoPAN,Jordan Ford,1:31.979,6
16,12,Felipe MassaMAS,Sauber Petronas,1:31.982,6
17,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:34.398,6
18,5,David CoulthardCOU,McLaren Mercedes,1:28.717,3
19,11,Giancarlo FisichellaFIS,Sauber Petronas,1:29.327,5
20,20,Gianmaria BruniBRU,Minardi Cosworth,1:33.077,3
