Pos,No,Driver,Car,Time,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:10.646,6
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:10.850,6
3,6,Kimi RäikkönenRAI,McLaren Mercedes,1:10.892,6
4,12,Felipe MassaMAS,Sauber Petronas,1:10.922,6
5,9,Jenson ButtonBUT,BAR Honda,1:11.092,6
6,10,Takuma SatoSAT,BAR Honda,1:11.120,6
7,4,Ralf SchumacherRSC,Williams BMW,1:11.131,6
8,1,Michael SchumacherMSC,Ferrari,1:11.386,6
9,8,Fernando AlonsoALO,Renault,1:11.454,6
10,16,Jarno TrulliTRU,Toyota,1:11.483,6
11,11,Giancarlo FisichellaFIS,Sauber Petronas,1:11.571,6
12,14,Mark WebberWEB,Jaguar Cosworth,1:11.665,6
13,5,David CoulthardCOU,McLaren Mercedes,1:11.750,6
14,7,Jacques VilleneuveVIL,Renault,1:11.836,6
15,17,Ricardo ZontaZON,Toyota,1:11.974,6
16,15,Christian KlienKLI,Jaguar Cosworth,1:12.211,6
17,18,Nick HeidfeldHEI,Jordan Ford,1:12.829,6
18,19,Timo GlockGLO,Jordan Ford,1:13.502,6
19,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:13.550,6
20,20,Gianmaria BruniBRU,Minardi Cosworth,1:12.916,3
