Pos,No,Driver,Car,Time,Laps
1,4,Ralf SchumacherRSC,Williams BMW,1:12.275,6
2,9,Jenson ButtonBUT,BAR Honda,1:12.341,6
3,7,Jarno TrulliTRU,Renault,1:13.023,6
4,3,Juan Pablo MontoyaMOY,Williams BMW,1:13.072,6
5,8,Fernando AlonsoALO,Renault,1:13.308,6
6,1,Michael SchumacherMSC,Ferrari,1:13.355,6
7,2,Rubens BarrichelloBAR,Ferrari,1:13.562,6
8,6,Kimi RäikkönenRAI,McLaren Mercedes,1:13.595,6
9,5,David CoulthardCOU,McLaren Mercedes,1:13.681,6
10,15,Christian KlienKLI,Jaguar Cosworth,1:14.532,6
11,11,Giancarlo FisichellaFIS,Sauber Petronas,1:14.674,6
12,16,Cristiano da MattaDAM,Toyota,1:14.851,6
13,17,Olivier PanisPAN,Toyota,1:14.891,6
14,14,Mark WebberWEB,Jaguar Cosworth,1:15.148,6
15,18,Nick HeidfeldHEI,Jordan Ford,1:15.321,6
16,19,Timo GlockGLO,Jordan Ford,1:16.323,6
17,10,Takuma SatoSAT,BAR Honda,1:17.004,6
18,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:17.064,6
19,12,Felipe MassaMAS,Sauber Petronas,1:14.392,4
20,20,Gianmaria BruniBRU,Minardi Cosworth,,2
