Pos,No,Driver,Car,Time,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:10.223,6
2,1,Michael SchumacherMSC,Ferrari,1:10.400,6
3,10,Takuma SatoSAT,BAR Honda,1:10.601,6
4,9,Jenson ButtonBUT,BAR Honda,1:10.820,6
5,3,Juan Pablo MontoyaMOY,Williams BMW,1:11.062,6
6,4,Ralf SchumacherRSC,Williams BMW,1:11.106,6
7,6,Kimi RäikkönenRAI,McLaren Mercedes,1:11.137,6
8,17,Olivier PanisPAN,Toyota,1:11.167,6
9,8,Fernando AlonsoALO,Renault,1:11.185,6
10,14,Mark WebberWEB,Jaguar Cosworth,1:11.286,6
11,16,Cristiano da MattaDAM,Toyota,1:11.691,6
12,5,David CoulthardCOU,McLaren Mercedes,1:12.026,6
13,15,Christian KlienKLI,Jaguar Cosworth,1:12.170,6
14,11,Giancarlo FisichellaFIS,Sauber Petronas,1:12.470,6
15,12,Felipe MassaMAS,Sauber Petronas,1:12.721,6
16,18,Nick HeidfeldHEI,Jordan Ford,1:13.147,6
17,19,Giorgio PantanoPAN,Jordan Ford,1:13.375,6
18,20,Gianmaria BruniBRU,Minardi Cosworth,1:14.010,6
19,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:14.812,6
20,7,Jarno TrulliTRU,Renault,1:10.559,5
