Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:15.022,6
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:15.639,6
3,10,Takuma SatoSAT,BAR Honda,1:15.809,6
4,7,Jarno TrulliTRU,Renault,1:16.144,6
5,2,Rubens BarrichelloBAR,Ferrari,1:16.272,6
6,4,Ralf SchumacherRSC,Williams BMW,1:16.293,6
7,17,Olivier PanisPAN,Toyota,1:16.313,6
8,8,Fernando AlonsoALO,Renault,1:16.422,6
9,14,Mark WebberWEB,Jaguar Cosworth,1:16.514,6
10,5,David CoulthardCOU,McLaren Mercedes,1:16.636,6
11,16,Cristiano da MattaDAM,Toyota,1:17.038,6
12,11,Giancarlo FisichellaFIS,Sauber Petronas,1:17.444,6
13,6,Kimi RäikkönenRAI,McLaren Mercedes,1:17.445,6
14,9,Jenson ButtonBUT,BAR Honda,1:17.575,6
15,18,Nick HeidfeldHEI,Jordan Ford,1:17.802,6
16,15,Christian KlienKLI,Jaguar Cosworth,1:17.812,6
17,12,Felipe MassaMAS,Sauber Petronas,1:17.866,6
18,20,Gianmaria BruniBRU,Minardi Cosworth,1:19.817,6
19,19,Giorgio PantanoPAN,Jordan Ford,1:20.607,6
20,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:21.470,6
