Pos,No,Driver,Car,Time,Laps
1,7,Jarno TrulliTRU,Renault,1:13.985,6
2,4,Ralf SchumacherRSC,Williams BMW,1:14.345,6
3,9,Jenson ButtonBUT,BAR Honda,1:14.396,6
4,8,Fernando AlonsoALO,Renault,1:14.408,6
5,1,Michael SchumacherMSC,Ferrari,1:14.516,6
6,6,Kimi RäikkönenRAI,McLaren Mercedes,1:14.592,6
7,2,Rubens BarrichelloBAR,Ferrari,1:14.716,6
8,10,Takuma SatoSAT,BAR Honda,1:14.827,6
9,5,David CoulthardCOU,McLaren Mercedes,1:14.951,6
10,3,Juan Pablo MontoyaMOY,Williams BMW,1:15.039,6
11,11,Giancarlo FisichellaFIS,Sauber Petronas,1:15.352,6
12,14,Mark WebberWEB,Jaguar Cosworth,1:15.725,6
13,17,Olivier PanisPAN,Toyota,1:15.859,6
14,15,Christian KlienKLI,Jaguar Cosworth,1:15.919,6
15,16,Cristiano da MattaDAM,Toyota,1:16.169,6
16,12,Felipe MassaMAS,Sauber Petronas,1:16.248,6
17,18,Nick HeidfeldHEI,Jordan Ford,1:16.488,6
18,19,Giorgio PantanoPAN,Jordan Ford,1:17.443,6
19,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:20.060,6
20,20,Gianmaria BruniBRU,Minardi Cosworth,1:20.115,6
