Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:13.306,6
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:13.668,6
3,9,Jenson ButtonBUT,BAR Honda,1:13.674,6
4,6,Kimi RäikkönenRAI,McLaren Mercedes,1:13.690,6
5,5,David CoulthardCOU,McLaren Mercedes,1:13.821,6
6,8,Fernando AlonsoALO,Renault,1:13.874,6
7,7,Jarno TrulliTRU,Renault,1:14.134,6
8,2,Rubens BarrichelloBAR,Ferrari,1:14.278,6
9,10,Takuma SatoSAT,BAR Honda,1:14.287,6
10,17,Olivier PanisPAN,Toyota,1:14.368,6
11,4,Antonio PizzoniaPIZ,Williams BMW,1:14.556,6
12,14,Mark WebberWEB,Jaguar Cosworth,1:14.802,6
13,15,Christian KlienKLI,Jaguar Cosworth,1:15.011,6
14,11,Giancarlo FisichellaFIS,Sauber Petronas,1:15.395,6
15,16,Cristiano da MattaDAM,Toyota,1:15.454,6
16,12,Felipe MassaMAS,Sauber Petronas,1:15.616,6
17,19,Giorgio PantanoPAN,Jordan Ford,1:16.192,6
18,18,Nick HeidfeldHEI,Jordan Ford,1:16.310,6
19,20,Gianmaria BruniBRU,Minardi Cosworth,1:18.055,6
20,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:18.400,6
