Pos,No,Driver,Car,Time,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:34.012,6
2,6,Kimi RäikkönenRAI,McLaren Mercedes,1:34.178,6
3,9,Jenson ButtonBUT,BAR Honda,1:34.295,6
4,12,Felipe MassaMAS,Sauber Petronas,1:34.759,6
5,4,Ralf SchumacherRSC,Williams BMW,1:34.891,6
6,8,Fernando AlonsoALO,Renault,1:34.917,6
7,11,Giancarlo FisichellaFIS,Sauber Petronas,1:34.951,6
8,17,Olivier PanisPAN,Toyota,1:34.975,6
9,10,Takuma SatoSAT,BAR Honda,1:34.993,6
10,5,David CoulthardCOU,McLaren Mercedes,1:35.029,6
11,3,Juan Pablo MontoyaMOY,Williams BMW,1:35.245,6
12,14,Mark WebberWEB,Jaguar Cosworth,1:35.286,6
13,7,Jacques VilleneuveVIL,Renault,1:35.384,6
14,16,Ricardo ZontaZON,Toyota,1:35.410,6
15,18,Nick HeidfeldHEI,Jordan Ford,1:36.507,6
16,15,Christian KlienKLI,Jaguar Cosworth,1:36.535,6
17,19,Timo GlockGLO,Jordan Ford,1:37.140,6
18,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:40.240,6
19,1,Michael SchumacherMSC,Ferrari,1:33.185,5
20,20,Gianmaria BruniBRU,Minardi Cosworth,1:36.623,5
