Pos,No,Driver,Car,Time,Laps
1,9,Jenson ButtonBUT,BAR Honda,1:19.753,6
2,1,Michael SchumacherMSC,Ferrari,1:20.011,6
3,3,Juan Pablo MontoyaMOY,Williams BMW,1:20.212,6
4,2,Rubens BarrichelloBAR,Ferrari,1:20.451,6
5,4,Ralf SchumacherRSC,Williams BMW,1:20.538,6
6,8,Fernando AlonsoALO,Renault,1:20.895,6
7,10,Takuma SatoSAT,BAR Honda,1:20.913,6
8,14,Mark WebberWEB,Jaguar Cosworth,1:20.921,6
9,7,Jarno TrulliTRU,Renault,1:21.034,6
10,16,Cristiano da MattaDAM,Toyota,1:21.087,6
11,5,David CoulthardCOU,McLaren Mercedes,1:21.091,6
12,12,Felipe MassaMAS,Sauber Petronas,1:21.532,6
13,17,Olivier PanisPAN,Toyota,1:21.558,6
14,15,Christian KlienKLI,Jaguar Cosworth,1:21.949,6
15,19,Giorgio PantanoPAN,Jordan Ford,1:23.352,6
16,18,Nick HeidfeldHEI,Jordan Ford,1:23.488,6
17,20,Gianmaria BruniBRU,Minardi Cosworth,1:26.899,6
18,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:46.299,6
19,11,Giancarlo FisichellaFIS,Sauber Petronas,1:20.716,3
20,6,Kimi RäikkönenRAI,McLaren Mercedes,1:21.181,4
