Pos,No,Driver,Car,Time
1,4,Lewis HamiltonHAM,McLaren Mercedes,1:24.010
2,3,Jenson ButtonBUT,McLaren Mercedes,1:24.133
3,6,Felipe MassaMAS,Ferrari,1:24.247
4,7,Michael SchumacherMSC,Mercedes,1:24.540
5,1,Sebastian VettelVET,Red Bull Racing Renault,1:24.802
6,8,Nico RosbergROS,Mercedes,1:24.833
7,9,Kimi RäikkönenRAI,Lotus Renault,1:24.855
8,14,Kamui KobayashiKOB,Sauber Ferrari,1:25.109
9,11,Paul di RestaDIR,Force India Mercedes,1:24.304
10,5,Fernando AlonsoALO,Ferrari,1:25.678
11,2,Mark WebberWEB,Red Bull Racing Renault,1:24.809
12,15,Sergio PerezPER,Sauber Ferrari,1:24.901
13,19,Bruno SennaSEN,Williams Renault,1:25.042
14,16,Daniel RicciardoRIC,STR Ferrari,1:25.312
15,10,Jerome d'AmbrosioDAM,Lotus Renault,1:25.408
16,17,Jean-Eric VergneVER,STR Ferrari,1:25.441
17,20,Heikki KovalainenKOV,Caterham Renault,1:26.382
18,21,Vitaly PetrovPET,Caterham Renault,1:26.887
19,24,Timo GlockGLO,Marussia Cosworth,1:27.039
20,25,Charles PicPIC,Marussia Cosworth,1:27.073
21,23,Narain KarthikeyanKAR,HRT Cosworth,1:27.441
22,18,Pastor MaldonadoMAL,Williams Renault,1:24.820
23,22,Pedro de la RosaDLR,HRT Cosworth,1:27.629
24,12,Nico HulkenbergHUL,Force India Mercedes,
