Pos,No,Driver,Car,Time
1,4,Lewis HamiltonHAM,McLaren Mercedes,1:40.630
2,2,Mark WebberWEB,Red Bull Racing Renault,1:40.978
3,18,Pastor MaldonadoMAL,Williams Renault,1:41.226
4,9,Kimi RäikkönenRAI,Lotus Renault,1:41.260
5,3,Jenson ButtonBUT,McLaren Mercedes,1:41.290
6,5,Fernando AlonsoALO,Ferrari,1:41.582
7,8,Nico RosbergROS,Mercedes,1:41.603
8,6,Felipe MassaMAS,Ferrari,1:41.723
9,10,Romain GrosjeanGRO,Lotus Renault,1:41.778
10,12,Nico HulkenbergHUL,Force India Mercedes,1:42.019
11,15,Sergio PerezPER,Sauber Ferrari,1:42.084
12,11,Paul di RestaDIR,Force India Mercedes,1:42.218
13,7,Michael SchumacherMSC,Mercedes,1:42.289
14,19,Bruno SennaSEN,Williams Renault,1:42.330
15,14,Kamui KobayashiKOB,Sauber Ferrari,1:42.606
16,16,Daniel RicciardoRIC,STR Ferrari,1:42.765
17,17,Jean-Eric VergneVER,STR Ferrari,1:44.058
18,20,Heikki KovalainenKOV,Caterham Renault,1:44.956
19,25,Charles PicPIC,Marussia Cosworth,1:45.089
20,21,Vitaly PetrovPET,Caterham Renault,1:45.151
21,24,Timo GlockGLO,Marussia Cosworth,1:45.426
22,22,Pedro de la RosaDLR,HRT Cosworth,1:45.766
23,23,Narain KarthikeyanKAR,HRT Cosworth,1:46.382
