Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:25.283
2,2,Mark WebberWEB,Red Bull Racing Renault,1:25.327
3,4,Lewis HamiltonHAM,McLaren Mercedes,1:25.544
4,3,Jenson ButtonBUT,McLaren Mercedes,1:25.659
5,5,Fernando AlonsoALO,Ferrari,1:25.773
6,6,Felipe MassaMAS,Ferrari,1:25.857
7,9,Kimi RäikkönenRAI,Lotus Renault,1:26.236
8,15,Sergio PerezPER,Sauber Ferrari,1:26.360
9,18,Pastor MaldonadoMAL,Williams Renault,1:26.713
10,8,Nico RosbergROS,Mercedes,
11,10,Romain GrosjeanGRO,Lotus Renault,1:26.136
12,12,Nico HulkenbergHUL,Force India Mercedes,1:26.241
13,19,Bruno SennaSEN,Williams Renault,1:26.331
14,7,Michael SchumacherMSC,Mercedes,1:26.574
15,16,Daniel RicciardoRIC,STR Ferrari,1:26.777
16,11,Paul di RestaDIR,Force India Mercedes,1:26.989
17,14,Kamui KobayashiKOB,Sauber Ferrari,1:27.219
18,17,Jean-Eric VergneVER,STR Ferrari,1:27.525
19,21,Vitaly PetrovPET,Caterham Renault,1:28.756
20,20,Heikki KovalainenKOV,Caterham Renault,1:29.500
21,24,Timo GlockGLO,Marussia Cosworth,1:29.613
22,22,Pedro de la RosaDLR,HRT Cosworth,1:30.592
23,23,Narain KarthikeyanKAR,HRT Cosworth,1:30.593
24,25,Charles PicPIC,Marussia Cosworth,1:30.662
