Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:32.422
2,4,Lewis HamiltonHAM,McLaren Mercedes,1:32.520
3,2,Mark WebberWEB,Red Bull Racing Renault,1:32.637
4,3,Jenson ButtonBUT,McLaren Mercedes,1:32.711
5,8,Nico RosbergROS,Mercedes,1:32.821
6,16,Daniel RicciardoRIC,STR Ferrari,1:32.912
7,10,Romain GrosjeanGRO,Lotus Renault,1:33.008
8,15,Sergio PerezPER,Sauber Ferrari,1:33.394
9,5,Fernando AlonsoALO,Ferrari,
10,11,Paul di RestaDIR,Force India Mercedes,
11,9,Kimi RäikkönenRAI,Lotus Renault,1:33.789
12,14,Kamui KobayashiKOB,Sauber Ferrari,1:33.806
13,12,Nico HulkenbergHUL,Force India Mercedes,1:33.807
14,6,Felipe MassaMAS,Ferrari,1:33.912
15,19,Bruno SennaSEN,Williams Renault,1:34.017
16,20,Heikki KovalainenKOV,Caterham Renault,1:36.132
17,17,Jean-Eric VergneVER,STR Ferrari,1:35.014
18,21,Vitaly PetrovPET,Caterham Renault,1:35.823
19,25,Charles PicPIC,Marussia Cosworth,1:37.683
20,22,Pedro de la RosaDLR,HRT Cosworth,1:37.883
21,18,Pastor MaldonadoMAL,Williams Renault,
22,7,Michael SchumacherMSC,Mercedes,1:34.865
23,24,Timo GlockGLO,Marussia Cosworth,1:37.905
24,23,Narain KarthikeyanKAR,HRT Cosworth,1:38.314
