Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:13.784
2,4,Lewis HamiltonHAM,McLaren Mercedes,1:14.087
3,5,Fernando AlonsoALO,Ferrari,1:14.151
4,2,Mark WebberWEB,Red Bull Racing Renault,1:14.346
5,8,Nico RosbergROS,Mercedes,1:14.411
6,6,Felipe MassaMAS,Ferrari,1:14.465
7,10,Romain GrosjeanGRO,Lotus Renault,1:14.645
8,11,Paul di RestaDIR,Force India Mercedes,1:14.705
9,7,Michael SchumacherMSC,Mercedes,1:14.812
10,3,Jenson ButtonBUT,McLaren Mercedes,1:15.182
11,14,Kamui KobayashiKOB,Sauber Ferrari,1:14.688
12,9,Kimi RäikkönenRAI,Lotus Renault,1:14.734
13,12,Nico HulkenbergHUL,Force India Mercedes,1:14.748
14,16,Daniel RicciardoRIC,STR Ferrari,1:15.078
15,15,Sergio PerezPER,Sauber Ferrari,1:15.156
16,19,Bruno SennaSEN,Williams Renault,1:15.170
17,18,Pastor MaldonadoMAL,Williams Renault,1:15.231
18,20,Heikki KovalainenKOV,Caterham Renault,1:16.263
19,21,Vitaly PetrovPET,Caterham Renault,1:16.482
20,17,Jean-Eric VergneVER,STR Ferrari,1:16.602
21,22,Pedro de la RosaDLR,HRT Cosworth,1:17.492
22,24,Timo GlockGLO,Marussia Cosworth,1:17.901
23,25,Charles PicPIC,Marussia Cosworth,1:18.255
24,23,Narain KarthikeyanKAR,HRT Cosworth,1:18.330
