Pos,No,Driver,Car,Time
1,4,Lewis HamiltonHAM,McLaren Mercedes,1:36.219
2,3,Jenson ButtonBUT,McLaren Mercedes,1:36.368
3,7,Michael SchumacherMSC,Mercedes,1:36.391
4,2,Mark WebberWEB,Red Bull Racing Renault,1:36.461
5,1,Sebastian VettelVET,Red Bull Racing Renault,1:36.634
6,10,Romain GrosjeanGRO,Lotus Renault,1:36.658
7,8,Nico RosbergROS,Mercedes,1:36.664
8,5,Fernando AlonsoALO,Ferrari,1:37.566
9,15,Sergio PerezPER,Sauber Ferrari,1:37.698
10,9,Kimi RäikkönenRAI,Lotus Renault,1:36.461
11,18,Pastor MaldonadoMAL,Williams Renault,1:37.589
12,6,Felipe MassaMAS,Ferrari,1:37.731
13,19,Bruno SennaSEN,Williams Renault,1:37.841
14,11,Paul di RestaDIR,Force India Mercedes,1:37.877
15,16,Daniel RicciardoRIC,STR Ferrari,1:37.883
16,12,Nico HulkenbergHUL,Force India Mercedes,1:37.890
17,14,Kamui KobayashiKOB,Sauber Ferrari,1:38.069
18,17,Jean-Eric VergneVER,STR Ferrari,1:39.077
19,21,Vitaly PetrovPET,Caterham Renault,1:39.567
20,24,Timo GlockGLO,Marussia Cosworth,1:40.903
21,25,Charles PicPIC,Marussia Cosworth,1:41.250
22,22,Pedro de la RosaDLR,HRT Cosworth,1:42.914
23,23,Narain KarthikeyanKAR,HRT Cosworth,1:43.655
24,20,Heikki KovalainenKOV,Caterham Renault,1:39.306
