Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:35.657
2,4,Lewis HamiltonHAM,McLaren Mercedes,1:35.766
3,2,Mark WebberWEB,Red Bull Racing Renault,1:36.174
4,9,Kimi RäikkönenRAI,Lotus Renault,1:36.708
5,7,Michael SchumacherMSC,Mercedes,1:36.794
6,12,Nico HulkenbergHUL,Force India Mercedes,1:37.141
7,5,Fernando AlonsoALO,Ferrari,1:37.300
8,10,Romain GrosjeanGRO,Lotus Renault,1:36.587
9,18,Pastor MaldonadoMAL,Williams Renault,1:37.842
10,19,Bruno SennaSEN,Williams Renault,1:37.604
11,6,Felipe MassaMAS,Ferrari,1:36.937
12,3,Jenson ButtonBUT,McLaren Mercedes,1:37.616
13,11,Paul di RestaDIR,Force India Mercedes,1:37.665
14,17,Jean-Eric VergneVER,STR Ferrari,1:37.879
15,15,Sergio PerezPER,Sauber Ferrari,1:38.206
16,14,Kamui KobayashiKOB,Sauber Ferrari,1:38.437
17,8,Nico RosbergROS,Mercedes,1:38.501
18,16,Daniel RicciardoRIC,STR Ferrari,1:39.114
19,24,Timo GlockGLO,Marussia Cosworth,1:40.056
20,25,Charles PicPIC,Marussia Cosworth,1:40.664
21,21,Vitaly PetrovPET,Caterham Renault,1:40.809
22,20,Heikki KovalainenKOV,Caterham Renault,1:41.166
23,22,Pedro de la RosaDLR,HRT Cosworth,1:42.011
24,23,Narain KarthikeyanKAR,HRT Cosworth,1:42.740
