Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:30.839
2,2,Mark WebberWEB,Red Bull Racing Renault,1:31.090
3,14,Kamui KobayashiKOB,Sauber Ferrari,1:31.700
4,10,Romain GrosjeanGRO,Lotus Renault,1:31.898
5,15,Sergio PerezPER,Sauber Ferrari,1:32.022
6,5,Fernando AlonsoALO,Ferrari,1:32.114
7,9,Kimi RäikkönenRAI,Lotus Renault,1:32.208
8,3,Jenson ButtonBUT,McLaren Mercedes,1:31.290
9,4,Lewis HamiltonHAM,McLaren Mercedes,1:32.327
10,6,Felipe MassaMAS,Ferrari,1:32.293
11,11,Paul di RestaDIR,Force India Mercedes,1:32.327
12,18,Pastor MaldonadoMAL,Williams Renault,1:32.512
13,8,Nico RosbergROS,Mercedes,1:32.625
14,16,Daniel RicciardoRIC,STR Ferrari,1:32.954
15,12,Nico HulkenbergHUL,Force India Mercedes,
16,19,Bruno SennaSEN,Williams Renault,1:33.405
17,20,Heikki KovalainenKOV,Caterham Renault,1:34.657
18,24,Timo GlockGLO,Marussia Cosworth,1:35.213
19,17,Jean-Eric VergneVER,STR Ferrari,1:33.368
20,22,Pedro de la RosaDLR,HRT Cosworth,1:35.385
21,25,Charles PicPIC,Marussia Cosworth,1:35.429
22,21,Vitaly PetrovPET,Caterham Renault,1:35.432
23,7,Michael SchumacherMSC,Mercedes,1:32.469
24,23,Narain KarthikeyanKAR,HRT Cosworth,1:36.734
