Pos,No,Driver,Car,Time
1,4,Lewis HamiltonHAM,McLaren Mercedes,1:20.953
2,10,Romain GrosjeanGRO,Lotus Renault,1:21.366
3,1,Sebastian VettelVET,Red Bull Racing Renault,1:21.416
4,3,Jenson ButtonBUT,McLaren Mercedes,1:21.583
5,9,Kimi RäikkönenRAI,Lotus Renault,1:21.730
6,5,Fernando AlonsoALO,Ferrari,1:21.844
7,6,Felipe MassaMAS,Ferrari,1:21.900
8,18,Pastor MaldonadoMAL,Williams Renault,1:21.939
9,19,Bruno SennaSEN,Williams Renault,1:22.343
10,12,Nico HulkenbergHUL,Force India Mercedes,1:22.847
11,2,Mark WebberWEB,Red Bull Racing Renault,1:21.715
12,11,Paul di RestaDIR,Force India Mercedes,1:21.813
13,8,Nico RosbergROS,Mercedes,1:21.895
14,15,Sergio PerezPER,Sauber Ferrari,1:21.895
15,14,Kamui KobayashiKOB,Sauber Ferrari,1:22.300
16,17,Jean-Eric VergneVER,STR Ferrari,1:22.380
17,7,Michael SchumacherMSC,Mercedes,1:22.723
18,16,Daniel RicciardoRIC,STR Ferrari,1:23.250
19,20,Heikki KovalainenKOV,Caterham Renault,1:23.576
20,21,Vitaly PetrovPET,Caterham Renault,1:24.167
21,25,Charles PicPIC,Marussia Cosworth,1:25.244
22,24,Timo GlockGLO,Marussia Cosworth,1:25.476
23,22,Pedro de la RosaDLR,HRT Cosworth,1:25.916
24,23,Narain KarthikeyanKAR,HRT Cosworth,1:26.178
