Pos,No,Driver,Car,Time,Gap,Laps
1,5,Fernando AlonsoALO,Ferrari,1:16.014,,14
2,4,Lewis HamiltonHAM,McLaren Mercedes,1:16.091,+0.077s,21
3,15,Sergio PerezPER,Sauber Ferrari,1:16.202,+0.188s,21
4,9,Kimi RäikkönenRAI,Lotus Renault,1:16.238,+0.224s,27
5,2,Mark WebberWEB,Red Bull Racing Renault,1:16.447,+0.433s,19
6,1,Sebastian VettelVET,Red Bull Racing Renault,1:16.475,+0.461s,18
7,18,Pastor MaldonadoMAL,Williams Renault,1:16.664,+0.650s,18
8,6,Felipe MassaMAS,Ferrari,1:16.771,+0.757s,15
9,14,Kamui KobayashiKOB,Sauber Ferrari,1:16.807,+0.793s,25
10,19,Bruno SennaSEN,Williams Renault,1:16.930,+0.916s,23
11,10,Romain GrosjeanGRO,Lotus Renault,1:16.962,+0.948s,26
12,12,Nico HulkenbergHUL,Force India Mercedes,1:17.033,+1.019s,26
13,11,Paul di RestaDIR,Force India Mercedes,1:17.148,+1.134s,24
14,16,Daniel RicciardoRIC,STR Ferrari,1:17.238,+1.224s,25
15,7,Michael SchumacherMSC,Mercedes,1:17.266,+1.252s,22
16,17,Jean-Eric VergneVER,STR Ferrari,1:17.419,+1.405s,23
17,8,Nico RosbergROS,Mercedes,1:17.491,+1.477s,26
18,20,Heikki KovalainenKOV,Caterham Renault,1:18.366,+2.352s,21
19,21,Vitaly PetrovPET,Caterham Renault,1:18.818,+2.804s,23
20,22,Pedro de la RosaDLR,HRT Cosworth,1:19.778,+3.764s,22
21,24,Timo GlockGLO,Marussia Cosworth,1:20.235,+4.221s,22
22,25,Charles PicPIC,Marussia Cosworth,1:20.318,+4.304s,9
23,23,Narain KarthikeyanKAR,HRT Cosworth,1:20.741,+4.727s,22
24,3,Jenson ButtonBUT,McLaren Mercedes,1:20.914,+4.900s,25
