POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:08.972,16
2,81,Oscar PiastriPIA,McLaren,+0.242s,15
3,63,George RussellRUS,Mercedes,+0.886s,17
4,55,Carlos SainzSAI,Williams,+0.941s,23
5,1,Max VerstappenVER,Red Bull Racing,+0.953s,20
6,16,Charles LeclercLEC,Ferrari,+0.966s,23
7,23,Alexander AlbonALB,Williams,+1.127s,22
8,18,Lance StrollSTR,Aston Martin,+1.131s,24
9,6,Isack HadjarHAD,Racing Bulls,+1.194s,21
10,14,Fernando AlonsoALO,Aston Martin,+1.260s,20
11,30,Liam LawsonLAW,Racing Bulls,+1.328s,17
12,22,Yuki TsunodaTSU,Red Bull Racing,+1.377s,19
13,5,Gabriel BortoletoBOR,Kick Sauber,+1.389s,21
14,44,Lewis HamiltonHAM,Ferrari,+1.401s,20
15,87,Oliver BearmanBEA,Haas,+1.623s,19
16,27,Nico HulkenbergHUL,Kick Sauber,+1.627s,24
17,12,Kimi AntonelliANT,Mercedes,+1.725s,31
18,31,Esteban OconOCO,Haas,+1.829s,18
19,10,Pierre GaslyGAS,Alpine,+1.991s,24
20,43,Franco ColapintoCOL,Alpine,+2.082s,21
