POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:11.799,24
2,16,Charles LeclercLEC,Ferrari,+0.078s,29
3,63,George RussellRUS,Mercedes,+0.151s,20
4,44,Lewis HamiltonHAM,Ferrari,+0.251s,26
5,1,Max VerstappenVER,Red Bull Racing,+0.273s,20
6,14,Fernando AlonsoALO,Aston Martin,+0.448s,21
7,12,Kimi AntonelliANT,Mercedes,+0.549s,21
8,81,Oscar PiastriPIA,McLaren,+0.720s,18
9,55,Carlos SainzSAI,Williams,+0.720s,22
10,23,Alexander AlbonALB,Williams,+0.774s,22
11,6,Isack HadjarHAD,Racing Bulls,+0.852s,22
12,10,Pierre GaslyGAS,Alpine,+0.885s,27
13,30,Liam LawsonLAW,Racing Bulls,+0.992s,27
14,18,Lance StrollSTR,Aston Martin,+0.995s,28
15,87,Oliver BearmanBEA,Haas,+1.026s,27
16,31,Esteban OconOCO,Haas,+1.028s,22
17,43,Franco ColapintoCOL,Alpine,+1.261s,27
18,27,Nico HulkenbergHUL,Kick Sauber,+1.273s,19
19,5,Gabriel BortoletoBOR,Kick Sauber,+1.373s,22
20,22,Yuki TsunodaTSU,Red Bull Racing,+1.774s,14
