POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:04.324,21
2,81,Oscar PiastriPIA,McLaren,+0.118s,20
3,1,Max VerstappenVER,Red Bull Racing,+0.210s,28
4,16,Charles LeclercLEC,Ferrari,+0.250s,20
5,44,Lewis HamiltonHAM,Ferrari,+0.466s,23
6,63,George RussellRUS,Mercedes,+0.694s,18
7,12,Kimi AntonelliANT,Mercedes,+0.729s,18
8,18,Lance StrollSTR,Aston Martin,+0.738s,20
9,22,Yuki TsunodaTSU,Red Bull Racing,+0.815s,17
10,5,Gabriel BortoletoBOR,Kick Sauber,+0.858s,18
11,30,Liam LawsonLAW,Racing Bulls,+0.858s,19
12,14,Fernando AlonsoALO,Aston Martin,+0.919s,21
13,27,Nico HulkenbergHUL,Kick Sauber,+0.959s,18
14,23,Alexander AlbonALB,Williams,+0.990s,22
15,55,Carlos SainzSAI,Williams,+1.002s,21
16,87,Oliver BearmanBEA,Haas,+1.042s,21
17,10,Pierre GaslyGAS,Alpine,+1.042s,26
18,31,Esteban OconOCO,Haas,+1.195s,21
19,43,Franco ColapintoCOL,Alpine,+1.222s,26
20,6,Isack HadjarHAD,Racing Bulls,+1.699s,18
