POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:27.489,18
2,81,Oscar PiastriPIA,McLaren,+0.024s,19
3,63,George RussellRUS,Mercedes,+0.627s,17
4,1,Max VerstappenVER,Red Bull Racing,+0.845s,14
5,16,Charles LeclercLEC,Ferrari,+0.883s,21
6,23,Alexander AlbonALB,Williams,+0.900s,16
7,55,Carlos SainzSAI,Williams,+1.081s,15
8,10,Pierre GaslyGAS,Alpine,+1.136s,16
9,22,Yuki TsunodaTSU,Red Bull Racing,+1.181s,14
10,12,Kimi AntonelliANT,Mercedes,+1.190s,18
11,6,Isack HadjarHAD,Racing Bulls,+1.280s,17
12,44,Lewis HamiltonHAM,Ferrari,+1.291s,20
13,30,Liam LawsonLAW,Racing Bulls,+1.372s,18
14,14,Fernando AlonsoALO,Aston Martin,+1.399s,19
15,7,Jack DoohanDOO,Alpine,+1.409s,21
16,87,Oliver BearmanBEA,Haas,+1.500s,15
17,27,Nico HulkenbergHUL,Kick Sauber,+1.731s,16
18,31,Esteban OconOCO,Haas,+1.847s,20
19,5,Gabriel BortoletoBOR,Kick Sauber,+1.921s,24
20,18,Lance StrollSTR,Aston Martin,+1.989s,19
