POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,16,Charles LeclercLEC,Ferrari,1:10.953,25
2,1,Max VerstappenVER,Red Bull Racing,+0.280s,23
3,4,Lando NorrisNOR,McLaren,+0.294s,23
4,81,Oscar PiastriPIA,McLaren,+0.445s,21
5,44,Lewis HamiltonHAM,Ferrari,+0.563s,26
6,23,Alexander AlbonALB,Williams,+0.715s,24
7,30,Liam LawsonLAW,Racing Bulls,+0.861s,33
8,55,Carlos SainzSAI,Williams,+0.940s,24
9,22,Yuki TsunodaTSU,Red Bull Racing,+0.999s,21
10,12,Kimi AntonelliANT,Mercedes,+1.060s,23
11,63,George RussellRUS,Mercedes,+1.113s,22
12,14,Fernando AlonsoALO,Aston Martin,+1.148s,22
13,27,Nico HulkenbergHUL,Kick Sauber,+1.172s,25
14,10,Pierre GaslyGAS,Alpine,+1.241s,20
15,18,Lance StrollSTR,Aston Martin,+1.249s,24
16,87,Oliver BearmanBEA,Haas,+1.298s,20
17,6,Isack HadjarHAD,Racing Bulls,+1.318s,30
18,31,Esteban OconOCO,Haas,+1.546s,25
19,5,Gabriel BortoletoBOR,Kick Sauber,+1.648s,28
20,43,Franco ColapintoCOL,Alpine,+1.898s,32
