POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:12.387,14
2,4,Lando NorrisNOR,McLaren,+0.526s,18
3,16,Charles LeclercLEC,Ferrari,+0.743s,17
4,63,George RussellRUS,Mercedes,+0.752s,18
5,1,Max VerstappenVER,Red Bull Racing,+0.988s,14
6,6,Isack HadjarHAD,Racing Bulls,+0.995s,17
7,12,Kimi AntonelliANT,Mercedes,+1.018s,12
8,14,Fernando AlonsoALO,Aston Martin,+1.027s,17
9,44,Lewis HamiltonHAM,Ferrari,+1.140s,17
10,30,Liam LawsonLAW,Racing Bulls,+1.250s,18
11,5,Gabriel BortoletoBOR,Kick Sauber,+1.335s,19
12,27,Nico HulkenbergHUL,Kick Sauber,+1.346s,18
13,55,Carlos SainzSAI,Williams,+1.371s,16
14,22,Yuki TsunodaTSU,Red Bull Racing,+1.505s,13
15,18,Lance StrollSTR,Aston Martin,+1.517s,20
16,10,Pierre GaslyGAS,Alpine,+1.567s,20
17,43,Franco ColapintoCOL,Alpine,+1.698s,23
18,31,Esteban OconOCO,Haas,+1.751s,14
19,23,Alexander AlbonALB,Williams,+1.902s,5
20,87,Oliver BearmanBEA,Haas,+2.073s,12
