POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:19.331,21
2,16,Charles LeclercLEC,Ferrari,+0.021s,24
3,81,Oscar PiastriPIA,McLaren,+0.165s,22
4,1,Max VerstappenVER,Red Bull Racing,+0.167s,18
5,63,George RussellRUS,Mercedes,+0.184s,19
6,5,Gabriel BortoletoBOR,Kick Sauber,+0.227s,18
7,44,Lewis HamiltonHAM,Ferrari,+0.267s,23
8,6,Isack HadjarHAD,Racing Bulls,+0.272s,20
9,12,Kimi AntonelliANT,Mercedes,+0.365s,24
10,23,Alexander AlbonALB,Williams,+0.389s,23
11,27,Nico HulkenbergHUL,Kick Sauber,+0.406s,18
12,14,Fernando AlonsoALO,Aston Martin,+0.530s,19
13,55,Carlos SainzSAI,Williams,+0.576s,23
14,43,Franco ColapintoCOL,Alpine,+0.703s,22
15,22,Yuki TsunodaTSU,Red Bull Racing,+0.728s,24
16,30,Liam LawsonLAW,Racing Bulls,+0.801s,14
17,87,Oliver BearmanBEA,Haas,+0.878s,22
18,10,Pierre GaslyGAS,Alpine,+0.916s,23
19,18,Lance StrollSTR,Aston Martin,+0.916s,22
20,31,Esteban OconOCO,Haas,+0.973s,20
