Pos.,No.,Driver,Team,Time / Gap,Laps
1,1,Max VerstappenVER,Red Bull Racing,1:30.148,16
2,81,Oscar PiastriPIA,McLaren,+0.017s,26
3,63,George RussellRUS,Mercedes,+0.049s,18
4,12,Kimi AntonelliANT,Mercedes,+0.089s,19
5,4,Lando NorrisNOR,McLaren,+0.089s,26
6,55,Carlos SainzSAI,Williams,+0.244s,23
7,6,Isack HadjarHAD,Racing Bulls,+0.341s,25
8,44,Lewis HamiltonHAM,Ferrari,+0.411s,23
9,27,Nico HulkenbergHUL,Kick Sauber,+0.489s,22
10,16,Charles LeclercLEC,Ferrari,+0.503s,23
11,23,Alexander AlbonALB,Williams,+0.520s,23
12,5,Gabriel BortoletoBOR,Kick Sauber,+0.549s,25
13,31,Esteban OconOCO,Haas F1 Team,+0.636s,23
14,87,Oliver BearmanBEA,Haas F1 Team,+0.651s,24
15,14,Fernando AlonsoALO,Aston Martin,+0.775s,22
16,43,Franco ColapintoCOL,Alpine,+0.899s,23
17,18,Lance StrollSTR,Aston Martin,+1.112s,24
18,22,Yuki TsunodaTSU,Red Bull Racing,+1.292s,25
19,10,Pierre GaslyGAS,Alpine,+1.495s,23
20,30,Liam LawsonLAW,Racing Bulls,+3.480s,7
