POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:14.916,17
2,4,Lando NorrisNOR,McLaren,+0.032s,20
3,16,Charles LeclercLEC,Ferrari,+0.399s,17
4,44,Lewis HamiltonHAM,Ferrari,+0.768s,18
5,12,Kimi AntonelliANT,Mercedes,+0.829s,18
6,14,Fernando AlonsoALO,Aston Martin,+0.878s,18
7,18,Lance StrollSTR,Aston Martin,+0.912s,21
8,63,George RussellRUS,Mercedes,+0.924s,17
9,5,Gabriel BortoletoBOR,Kick Sauber,+1.062s,19
10,27,Nico HulkenbergHUL,Kick Sauber,+1.109s,21
11,87,Oliver BearmanBEA,Haas,+1.211s,17
12,1,Max VerstappenVER,Red Bull Racing,+1.246s,19
13,43,Franco ColapintoCOL,Alpine,+1.331s,21
14,30,Liam LawsonLAW,Racing Bulls,+1.455s,21
15,55,Carlos SainzSAI,Williams,+1.526s,19
16,23,Alexander AlbonALB,Williams,+1.614s,20
17,31,Esteban OconOCO,Haas,+1.615s,18
18,10,Pierre GaslyGAS,Alpine,+1.654s,22
19,22,Yuki TsunodaTSU,Red Bull Racing,+1.962s,19
20,6,Isack HadjarHAD,Racing Bulls,+2.040s,18
