POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:31.646,13
2,4,Lando NorrisNOR,McLaren,+0.668s,18
3,16,Charles LeclercLEC,Ferrari,+0.834s,19
4,63,George RussellRUS,Mercedes,+1.181s,13
5,12,Kimi AntonelliANT,Mercedes,+1.270s,12
6,10,Pierre GaslyGAS,Alpine,+1.328s,18
7,6,Isack HadjarHAD,Racing Bulls,+1.377s,15
8,1,Max VerstappenVER,Red Bull Racing,+1.381s,13
9,55,Carlos SainzSAI,Williams,+1.446s,15
10,44,Lewis HamiltonHAM,Ferrari,+1.465s,18
11,31,Esteban OconOCO,Haas,+1.594s,17
12,7,Jack DoohanDOO,Alpine,+1.701s,18
13,30,Liam LawsonLAW,Racing Bulls,+1.724s,14
14,14,Fernando AlonsoALO,Aston Martin,+1.902s,18
15,23,Alexander AlbonALB,Williams,+2.107s,16
16,87,Oliver BearmanBEA,Haas,+2.689s,18
17,18,Lance StrollSTR,Aston Martin,+2.717s,16
18,5,Gabriel BortoletoBOR,Kick Sauber,+2.872s,16
19,27,Nico HulkenbergHUL,Kick Sauber,+2.990s,7
20,22,Yuki TsunodaTSU,Red Bull Racing,+3.319s,15
