Position,Driver Number,Driver,Car,Time,Gap,Laps
1,81,Oscar PiastriPIA,McLaren Mercedes,1:15.921,,16
2,63,George RussellRUS,Mercedes,1:15.960,+0.039s,17
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:16.002,+0.081s,18
4,16,Charles LeclercLEC,Ferrari,1:16.188,+0.267s,22
5,12,Andrea Kimi AntonelliANT,Mercedes,1:16.206,+0.285s,20
6,55,Carlos SainzSAI,Williams Mercedes,1:16.252,+0.331s,23
7,23,Alexander AlbonALB,Williams Mercedes,1:16.258,+0.337s,21
8,44,Lewis HamiltonHAM,Ferrari,1:16.378,+0.457s,21
9,22,Yuki TsunodaTSU,Racing Bulls Honda RBPT,1:16.455,+0.534s,17
10,4,Lando NorrisNOR,McLaren Mercedes,1:16.597,+0.676s,20
11,5,Gabriel BortoletoBOR,Kick Sauber Ferrari,1:16.707,+0.786s,18
12,10,Pierre GaslyGAS,Alpine Renault,1:16.719,+0.798s,22
13,6,Isack HadjarHAD,Racing Bulls Honda RBPT,1:16.732,+0.811s,18
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:16.948,+1.027s,22
15,7,Jack DoohanDOO,Alpine Renault,1:16.993,+1.072s,18
16,27,Nico HulkenbergHUL,Kick Sauber Ferrari,1:17.146,+1.225s,15
17,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:17.270,+1.349s,22
18,31,Esteban OconOCO,Haas Ferrari,1:17.373,+1.452s,18
19,87,Oliver BearmanBEA,Haas Ferrari,,,2
20,30,Liam LawsonLAW,Red Bull Racing Honda RBPT,,,2
