POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:14.897,19
2,81,Oscar PiastriPIA,McLaren,+0.100s,19
3,1,Max VerstappenVER,Red Bull Racing,+0.181s,17
4,12,Kimi AntonelliANT,Mercedes,+0.502s,15
5,16,Charles LeclercLEC,Ferrari,+0.554s,26
6,55,Carlos SainzSAI,Williams,+0.560s,21
7,6,Isack HadjarHAD,Racing Bulls,+0.611s,20
8,63,George RussellRUS,Mercedes,+0.765s,14
9,23,Alexander AlbonALB,Williams,+0.835s,20
10,44,Lewis HamiltonHAM,Ferrari,+0.890s,25
11,14,Fernando AlonsoALO,Aston Martin,+0.922s,18
12,87,Oliver BearmanBEA,Haas,+1.047s,14
13,18,Lance StrollSTR,Aston Martin,+1.078s,22
14,30,Liam LawsonLAW,Racing Bulls,+1.080s,21
15,10,Pierre GaslyGAS,Alpine,+1.093s,14
16,5,Gabriel BortoletoBOR,Kick Sauber,+1.149s,17
17,22,Yuki TsunodaTSU,Red Bull Racing,+1.213s,14
18,43,Franco ColapintoCOL,Alpine,+1.313s,14
19,27,Nico HulkenbergHUL,Kick Sauber,+1.341s,16
20,31,Esteban OconOCO,Haas,+1.490s,15
