POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,16,Charles LeclercLEC,Ferrari,1:25.498,14
2,81,Oscar PiastriPIA,McLaren,+0.068s,14
3,1,Max VerstappenVER,Red Bull Racing,+0.087s,14
4,4,Lando NorrisNOR,McLaren,+0.108s,17
5,22,Yuki TsunodaTSU,Red Bull Racing,+0.606s,13
6,87,Oliver BearmanBEA,Haas,+0.614s,13
7,23,Alexander AlbonALB,Williams,+0.621s,15
8,63,George RussellRUS,Mercedes,+0.627s,13
9,6,Isack HadjarHAD,Racing Bulls,+0.631s,14
10,30,Liam LawsonLAW,Racing Bulls,+0.758s,14
11,44,Lewis HamiltonHAM,Ferrari,+0.834s,17
12,55,Carlos SainzSAI,Williams,+0.834s,16
13,31,Esteban OconOCO,Haas,+0.879s,12
14,12,Kimi AntonelliANT,Mercedes,+0.924s,12
15,27,Nico HulkenbergHUL,Kick Sauber,+1.001s,19
16,5,Gabriel BortoletoBOR,Kick Sauber,+1.003s,15
17,14,Fernando AlonsoALO,Aston Martin,+1.396s,16
18,43,Franco ColapintoCOL,Alpine,+2.099s,14
19,18,Lance StrollSTR,Aston Martin,+2.102s,14
20,10,Pierre GaslyGAS,Alpine,+2.380s,16
