POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:27.965,17
2,81,Oscar PiastriPIA,McLaren,+0.026s,17
3,63,George RussellRUS,Mercedes,+0.112s,15
4,16,Charles LeclercLEC,Ferrari,+0.449s,13
5,1,Max VerstappenVER,Red Bull Racing,+0.532s,21
6,44,Lewis HamiltonHAM,Ferrari,+0.559s,13
7,23,Alexander AlbonALB,Williams,+0.589s,19
8,10,Pierre GaslyGAS,Alpine,+0.638s,15
9,22,Yuki TsunodaTSU,Red Bull Racing,+0.820s,15
10,6,Isack HadjarHAD,Racing Bulls,+0.821s,16
11,55,Carlos SainzSAI,Williams,+0.881s,22
12,30,Liam LawsonLAW,Racing Bulls,+1.139s,19
13,12,Kimi AntonelliANT,Mercedes,+1.161s,20
14,7,Jack DoohanDOO,Alpine,+1.802s,15
15,14,Fernando AlonsoALO,Aston Martin,+1.807s,17
16,87,Oliver BearmanBEA,Haas,+2.119s,17
17,5,Gabriel BortoletoBOR,Kick Sauber,+2.169s,13
18,31,Esteban OconOCO,Haas,+2.218s,17
19,18,Lance StrollSTR,Aston Martin,+2.302s,16
20,27,Nico HulkenbergHUL,Kick Sauber,+2.656s,17
