POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:41.223,19
2,1,Max VerstappenVER,Red Bull Racing,+0.222s,19
3,81,Oscar PiastriPIA,McLaren,+0.254s,21
4,44,Lewis HamiltonHAM,Ferrari,+0.276s,18
5,12,Kimi AntonelliANT,Mercedes,+0.653s,17
6,63,George RussellRUS,Mercedes,+0.741s,17
7,23,Alexander AlbonALB,Williams,+0.760s,19
8,87,Oliver BearmanBEA,Haas,+0.762s,23
9,30,Liam LawsonLAW,Racing Bulls,+0.923s,21
10,16,Charles LeclercLEC,Ferrari,+0.986s,19
11,6,Isack HadjarHAD,Racing Bulls,+1.044s,22
12,27,Nico HulkenbergHUL,Kick Sauber,+1.205s,17
13,55,Carlos SainzSAI,Williams,+1.263s,17
14,14,Fernando AlonsoALO,Aston Martin,+1.368s,17
15,43,Franco ColapintoCOL,Alpine,+1.566s,19
16,22,Yuki TsunodaTSU,Red Bull Racing,+1.617s,18
17,31,Esteban OconOCO,Haas,+1.645s,20
18,5,Gabriel BortoletoBOR,Kick Sauber,+1.837s,16
19,10,Pierre GaslyGAS,Alpine,+2.099s,21
20,18,Lance StrollSTR,Aston Martin,+2.127s,17
