Pos,No,Driver,Car,Time,Gap,Laps
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:11.786,,23
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:11.787,+0.001s,14
3,5,Sebastian VettelVET,Ferrari,1:12.023,+0.237s,23
4,7,Kimi RäikkönenRAI,Ferrari,1:12.142,+0.356s,26
5,44,Lewis HamiltonHAM,Mercedes,1:12.273,+0.487s,26
6,77,Valtteri BottasBOT,Mercedes,1:12.356,+0.570s,27
7,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:12.752,+0.966s,25
8,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:12.761,+0.975s,23
9,55,Carlos SainzSAI,Renault,1:12.850,+1.064s,24
10,35,Sergey SirotkinSIR,Williams Mercedes,1:12.854,+1.068s,23
11,2,Stoffel VandoorneVAN,McLaren Renault,1:12.874,+1.088s,25
12,31,Esteban OconOCO,Force India Mercedes,1:12.940,+1.154s,23
13,11,Sergio PerezPER,Force India Mercedes,1:13.025,+1.239s,22
14,27,Nico HulkenbergHUL,Renault,1:13.112,+1.326s,26
15,14,Fernando AlonsoALO,McLaren Renault,1:13.279,+1.493s,25
16,18,Lance StrollSTR,Williams Mercedes,1:13.595,+1.809s,26
17,16,Charles LeclercLEC,Sauber Ferrari,1:13.644,+1.858s,25
18,8,Romain GrosjeanGRO,Haas Ferrari,1:13.881,+2.095s,21
19,20,Kevin MagnussenMAG,Haas Ferrari,1:14.192,+2.406s,20
20,9,Marcus EricssonERI,Sauber Ferrari,1:14.221,+2.435s,28
