Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Sauber Ferrari,1:34.577,,8
2,9,Marcus EricssonERI,Sauber Ferrari,1:35.000,+0.423s,9
3,35,Sergey SirotkinSIR,Williams Mercedes,1:35.334,+0.757s,9
4,5,Sebastian VettelVET,Ferrari,1:35.573,+0.996s,5
5,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:35.659,+1.082s,6
6,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:36.151,+1.574s,6
7,27,Nico HulkenbergHUL,Renault,1:36.873,+2.296s,4
8,7,Kimi RäikkönenRAI,Ferrari,1:37.755,+3.178s,4
9,18,Lance StrollSTR,Williams Mercedes,1:38.393,+3.816s,7
10,8,Romain GrosjeanGRO,Haas Ferrari,,,2
11,20,Kevin MagnussenMAG,Haas Ferrari,,,2
12,33,Max VerstappenVER,Red Bull Racing TAG Heuer,,,1
13,14,Fernando AlonsoALO,McLaren Renault,,,1
14,2,Stoffel VandoorneVAN,McLaren Renault,,,2
15,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,,,1
16,55,Carlos SainzSAI,Renault,,,2
17,77,Valtteri BottasBOT,Mercedes,,,2
18,31,Esteban OconOCO,Force India Mercedes,,,2
19,11,Sergio PerezPER,Force India Mercedes,,,1
20,44,Lewis HamiltonHAM,Mercedes,,,2
